Product Name,Brand Name,Price,Rating,Reviews,Review Votes
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,3,I got the phone and it's in good condition but the vibrate on my phone doesn't work other than that it works great,0
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,got this for the wife. so far she likes it.,0
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,Very happy with purchase...great phone',0
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,3,I love it but only problem wit charge so I went to Apple Store for replace new battery. There me go wit beautiful iPhone but not a bad on scatch.. Thk y so still working all the way,0
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,Seller was accurate and phone is great!,0
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,"Great phone, good price.",0
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,Great phone at a great price. I would request using a different delivery carrier other than USP.,0
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,ok phone i had no problem so far,0
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,Love it!,0
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,I am so happy with my phone and unlimited data plan.,0
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,Phone was better than what I expected.,2
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,"I love this phone! I had a 5C for several years. This is bigger, but not as big as the plus size apple phones. I love some of the upgrades but touch ID is my favorite. Love apple products but have been disappointed with some apple decisions.",1
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,I love the iPhone 6 and so does my daughter!,2
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,Love it thanks,1
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,Phone works great and no issues here. Thanks,1
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,Beautiful refurbished instrument...no signs of use.Will never purchase a new phone from phone service again and pay for it on my bill when the same product is available for half the price.Thank-you!,2
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,Phone was exactly as described and works perfectly. The tracking number was off when I was notified that it shipped but a quick email returned a prompt reply with the correct tracking number.,2
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,"The phone was in like-new condition. It works perfectly, I've had it activated on ACN's Flash (Verizon) Network for a couple of days now. Great value, I'm glad I purchased this.",2
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,The phone looked new and I had no problems adding service to it. Great buy!,2
"Apple iPhone 6 (4.7 inch - diagonal), 64GB, Verizon Wireless (Silver)",Apple,559.95,5,My iPhone 6 is awesome!,2
