Mobile,Rating,Date,Review
Oneplus 6,4,30-Oct-18,"After a week of using the One Plus 6, I find this phone amazing to use. I won’t go for a spec listing. You can get it from websites.

I preferred to buy this even after knowing 6T was being launched was because 6T has very little upgrades and costs 10k more.

Note to people using high end Samsung phones - You would really hate the display ,compared to Note 8/9 or s8/s9 ,this display is a joke. but overall this phone has great value for money

Originally, I have a One plus 3T. As an upgrade, I went for the Honor 10 on Flipkart. Flipkart, however, made a mess with the delivery. Please read my Flipkart review recently for details. I had to cancel the phone. The next choice after using the One plus 3T was obviously OP6.

One Plus 6 Features

The pleasant surprise for me was definitely the large 19: 9 aspect ratio FHD screen. It’s a 6.28 inches display but still easy to hold and use with one hand mostly. Being a AMOLED display, the colors are very vibrant even in sunlight. I love using it for social media ( Instagram, FB, WhatsApp) since its longer screen can fit in a number of feeds. I also enjoy reading with it. Videos in full view even with the notch are amazing to watch.

The coolest feature in the display is doing away with the physical keys or the software keys. You can use gestures to do these functions and take advantage of a larger full screen.Swiping from bottom to the middle takes you home. Swiping from left or right bottom to the middle takes you back. Swiping from the bottom to the middle and holding gives you recent apps. The problem I face is when using the keyboard very fast while typing. It just goes home sometimes which can be irritating. It’s just getting confused between the typing and the gesture to go home I think. I use the swiftkey keyboard dragging to avoid it but OP must improve this gesture.

The os is very fast thanks to it being very bloatware free and using the Snapdragon 845. There is no lag whatsoever and it is a pleasure using this phone.

Fast charging is awesome on this phone. You are all set even if you charge for half an hour to get to 60% approximately. Very handy in today’s fast-paced life.

Rear cameras @16 mp and 20 mp are quite handy to use featuring portrait and bokeh modes. The front camera also offers decent output @ 16 mp. I loved the addition of slow-motion capture on the primary camera which works well. However, you need bright lighting for it to work well.

Fingerprint and face recognition features are super fast to use. Its small thoughtful things like the option of the screen lighting up in the dark to recognize your face and unlock is what makes this device a compelling one. Speaker is mono and functional to use. Its audio via headphones is amazing, however.

Another welcome addition is true dual VOLTE support. You can have two Jio Sims running in parallel here. This means people calling your Jio number when you’re an idea or Vodafone data connection is active will be able to connect with you. Both Sims can remain on 4g.

For the cash you pay, I think this phone is amazing to own and use every day."
Oneplus 6,1,11-Oct-18,I purchased this phone on 25july and today is 11 Oct...it been less than 3 months and my screen have a dead cell in the lower right corner...even it didn't drop or didn't come in contact of water or any pressure on phone......very poor protection of screen.
,1,08-Oct-18,"the camera is not up to the mark I used one plus two for more than three years now again I bought this six but now I do not want to buy any more this product, some time auto restart by itself. very dis apointed by both amezon as well Oneplus."
,3,15-Nov-18,"I bought it @ 27 k so keeping in mind the price of 27k , I am writing Pros & cons of this oneplus6 :
MY ONEPLUS6 CURRENT OSXYGEN OS 9.0.
PROS :
1. SPEED : YES , AWSEOME YOU GONNA LOVE IT.
2. CHARGER : Its superb , excellent ,mind blowing charge rapidly .
3. SCREEN TOUCH is overall good and buttery.

CONS :
CAMERA : Nice on paper but not on reality , pictures are not crisp sometime have oil paint effect , I think main problem is with image processing. So advise everyone no to update to os. 9.0.2 .

BATTERY BACKUP : It easily last for 1 and half day *if you dont play games as I dont play games. Otherwise for heavy user hardly 3-3.5 hours.

Sound Quality : sometime shrill at full volume.

Camera Bumper : Get scratches , so dont like it.

Now I can say this phone doesnt deserve price tag of 35k , I bought @27k so fine. In oneplus6 , OTA update plays major role beacuse camera qaulity , battery backup and performance as last upadte os.9.0.2 is worst this is the reaon I didnt upadte till now . So always check reviews before updating to latest OTA update."
,3,28-Oct-18,"Worst product and embarrassing customer Care of Amazon.... ""exchange policy of Amazon"" is really a horrible... very bad experience...once they have sold the product they're liable for Post sale service. Amazon sold me defective oneplus 6, 8gb ram, 256 gb, under exchange offer. There technician visited and certified that the mobile is defective. After 2 days exercise they approved the replacement. But there was no update from Amazon about the replacement of mobile. After several Chat sessions, call from team (Everytime cutomar Care person Will ask"" What's the issue sir"", this is embarrassing)...now Amazon changed the color. Now they're unable to replace the mobile and insisting refund. And refund of exchange value of old handset only in Amazon account so customer can't use that money other than Amazon.....really a horrible purchase... Actually I appreciate Amazon but this first experience is totally disturbing for me....still matter is pending and let's see.... end of the episode. You"
,1,12-Sep-18,"Mobile charger is not working properly.
Request you to send new charger"
,1,01-Aug-18,"The camera quantity is very bad.
There is a post related to camera in oneplus community too"
,1,19-Oct-18,"Didn't expected this from Amazon, got a refurbished phone on the price of new phone, battery backup is like about 5-6 hours, picture quality is good but i am not happy with device, phone is getting heated up while normal usage, phone is hanging a lot, i am a big fan of oneplus from long time, using oneplus one from 2014, used oneplus 3t, oneplus 5t, and now oneplus 6, but really not happy with this one, sometimes there is network problem, some times wifi problem, sometimes flash doesn't work, really disappointed with amazon and oneplus. Didn't expected this."
,5,05-Nov-18,"The OnePlus 6 has a 3.5mm Headphone Socket! YAY!

It's a ball-ache. You have so many things to charge up before you can use them... Speakers, smart watch, phone, Go-Pro, toothbrush, laptop, vibrator, tablet, torch, lamp, mosquito killer...

ENOUGH IS ENOUGH! I don't want bluetooth earpods that only last for 5 hours between charges and cost upwards of Rs.10,000 and have to be charged up at least twice a day!

Everything about the OnePlus 6 is excellent, and the 3.5mm headphone socket clenched the deal"
,5,24-Sep-18,"Awesome picture quality as now we are getting time to time updates!
Android pie is available now and the phone is working well on it!
Sound quality I would say excellent but it could be extra ordinary.
Battery life is good , quick charging is though available so no battery problem at all ,rest depend on the usage of user!
And yeah the imp. One
New potrait modes are available now in Camera!
Gaming in this phone just marvellous!
4k video recording and slow motion works very well in the phone"
