able,3,47,4.344509295
absent,1,1,5.298317367
absolute,2,5,7.377758908
absorber,1,1,5.298317367
accept,2,2,9.210340372
accessories,3,2,13.81551056
according,1,1,5.298317367
account,3,2,13.81551056
accounts,2,1,10.59663473
accuracy,1,1,5.298317367
act,1,32,1.832581464
acted,1,4,3.912023005
active,2,4,7.824046011
activity,2,1,10.59663473
adapter,2,2,9.210340372
adaptive,1,1,5.298317367
added,2,3,8.399410156
adding,1,1,5.298317367
addition,2,3,8.399410156
additional,1,2,4.605170186
addresses,1,1,5.298317367
advantage,2,2,9.210340372
advertisement,1,1,5.298317367
advice,1,1,5.298317367
advise,2,3,8.399410156
advised,1,1,5.298317367
affected,1,1,5.298317367
affecting,1,1,5.298317367
affects,1,1,5.298317367
agents,1,1,5.298317367
aggressive,3,2,13.81551056
agree,1,1,5.298317367
ah,1,9,3.101092789
aim,1,4,3.912023005
air,2,10,5.991464547
airfreighting,1,1,5.298317367
AL,1,1,5.298317367
alarm,2,2,9.210340372
alert,1,1,5.298317367
alive,1,1,5.298317367
allot,1,1,5.298317367
allow,1,1,5.298317367
alternate,1,1,5.298317367
am,3,152,0.823310537
amazing,31,26,63.24684568
amazon,37,36,63.44754184
amazons,1,1,5.298317367
ambient,1,1,5.298317367
ambled,9,8,28.96988242
ambusher,1,1,5.298317367
amount,3,2,13.81551056
ample,2,2,9.210340372
Amritsar,1,1,5.298317367
ams,1,17,2.465104022
analyzing,1,1,5.298317367
android,5,28,9.830564282
androids,1,1,5.298317367
angle,1,2,4.605170186
angles,1,1,5.298317367
angry,1,1,5.298317367
animation,1,1,5.298317367
answer,3,3,12.59911523
anyone,5,4,19.56011503
anything,8,8,25.7510066
aperture,1,1,5.298317367
appear,1,1,5.298317367
apple,11,7,36.87647939
apples,1,1,5.298317367
application,3,2,13.81551056
applied,1,1,5.298317367
apply,1,1,5.298317367
appreciable,1,1,5.298317367
appreciate,1,1,5.298317367
approach,1,1,5.298317367
approved,1,1,5.298317367
area,2,3,8.399410156
areas,1,1,5.298317367
arranged,1,1,5.298317367
artificial,2,1,10.59663473
ask,4,8,12.8755033
asked,2,2,9.210340372
aspect,3,4,11.73606902
aspects,1,1,5.298317367
asphalt,1,1,5.298317367
assembled,1,1,5.298317367
assistance,1,1,5.298317367
assistant,1,1,5.298317367
assured,1,1,5.298317367
attach,1,1,5.298317367
attempt,1,2,4.605170186
attempts,1,1,5.298317367
attention,1,1,5.298317367
attractive,2,2,9.210340372
audio,11,10,32.95305501
august,1,2,4.605170186
authorized,1,1,5.298317367
auto,4,7,13.40962887
available,18,15,46.62480898
availed,1,1,5.298317367
average,19,15,49.21507614
avg,2,2,9.210340372
avoid,2,2,9.210340372
aware,2,1,10.59663473
aweigh,1,1,5.298317367
awesome,43,32,78.80100294
awesomeness,1,1,5.298317367
baa,1,1,5.298317367
back,3,57,3.765798296
background,7,6,24.54590528
backup,16,13,43.73388815
bad,18,18,43.34302096
Baedeker,1,1,5.298317367
bah,1,1,5.298317367
banana,1,1,5.298317367
bandwidth,1,1,5.298317367
bank,8,5,29.51103563
banks,1,1,5.298317367
bar,2,5,7.377758908
bargain,1,1,5.298317367
base,1,3,4.199705078
based,2,2,9.210340372
basic,3,5,11.06663836
basis,2,2,9.210340372
Bataan,1,1,5.298317367
batter,2,100,1.386294361
battery,137,98,97.72893464
be,1,92,0.776528789
beast,7,7,23.46685052
beat,1,6,3.506557897
beats,4,3,16.79882031
beautiful,5,4,19.56011503
beauty,1,1,5.298317367
becomes,1,1,5.298317367
been,1,1,5.298317367
behaves,1,1,5.298317367
being,2,2,9.210340372
believe,5,5,18.44439727
benchmark,1,1,5.298317367
best,44,38,73.0721731
better,35,31,65.25155567
bezel,1,1,5.298317367
bf,3,4,11.73606902
bi,3,67,3.280874241
big,12,16,30.30874373
bigger,3,2,13.81551056
biggest,3,3,12.59911523
