Attribute,,,TFIDF
lot,15,19,35.30817581
lots,1,2,4.605170186
Lotta,1,1,5.298317367
loud,3,3,12.59911523
love,18,22,39.73094844
loved,5,5,18.44439727
lovely,1,1,5.298317367
loves,2,2,9.210340372
loving,1,1,5.298317367
low,13,28,25.55946713
lower,2,2,9.210340372
lowest,1,1,5.298317367
lox,1,1,5.298317367
loyal,2,2,9.210340372
luck,2,3,8.399410156
lucky,1,1,5.298317367
lunch,1,1,5.298317367
lye,1,1,5.298317367
m,2,197,0.030227276
made,9,8,28.96988242
magical,1,1,5.298317367
mags,1,1,5.298317367
mail,1,2,4.605170186
main,5,5,18.44439727
major,2,2,9.210340372
make,9,14,23.93334033
makes,9,7,30.17166496
making,3,3,12.59911523
malls,1,1,5.298317367
manage,1,7,3.352407217
managed,1,2,4.605170186
management,4,4,15.64809202
manner,1,1,5.298317367
manual,5,5,18.44439727
manufacturer,2,4,7.824046011
manufacturers,2,2,9.210340372
manufacturing,2,2,9.210340372
many,24,22,52.97459792
map,1,2,4.605170186
maps,1,1,5.298317367
mark,3,16,7.577185933
market,15,13,41.00052014
marks,1,1,5.298317367
Marne,1,1,5.298317367
marred,1,1,5.298317367
marshmallow,2,2,9.210340372
marvel,1,1,5.298317367
master,1,2,4.605170186
masterpiece,1,1,5.298317367
match,2,2,9.210340372
matter,1,1,5.298317367
max,1,2,4.605170186
maximum,1,1,5.298317367
mean,2,5,7.377758908
means,1,1,5.298317367
meant,1,1,5.298317367
media,1,3,4.199705078
medium,1,1,5.298317367
mega,2,1,10.59663473
member,2,4,7.824046011
members,1,1,5.298317367
memo,2,13,5.466736018
memory,13,11,37.70548722
mention,1,3,4.199705078
mentioned,2,2,9.210340372
menu,1,1,5.298317367
mercy,1,1,5.298317367
mess,2,5,7.377758908
message,2,2,9.210340372
messaging,2,2,9.210340372
metal,1,2,4.605170186
metallic,1,1,5.298317367
metros,1,1,5.298317367
mi,15,81,13.55802318
micro,5,4,19.56011503
microphone,1,1,5.298317367
mid,1,2,4.605170186
middle,1,1,5.298317367
migrated,1,1,5.298317367
mild,1,1,5.298317367
mile,1,1,5.298317367
milts,1,1,5.298317367
min,7,34,12.40369789
mind,2,2,9.210340372
minimum,1,1,5.298317367
minor,3,3,12.59911523
minutes,8,6,28.05246318
mirroring,1,1,5.298317367
mismanaged,1,1,5.298317367
miss,2,8,6.43775165
missing,4,4,15.64809202
mobile,39,29,75.30983993
mobiles,7,7,23.46685052
mod,1,23,2.162823151
mode,15,22,33.1091237
model,8,8,25.7510066
models,2,2,9.210340372
moderate,3,3,12.59911523
modes,1,1,5.298317367
modifications,1,1,5.298317367
moment,2,2,9.210340372
money,17,17,41.90676838
monster,1,1,5.298317367
month,20,41,31.694906
monthly,1,1,5.298317367
months,23,23,49.74493246
moot,3,20,6.907755279
more,2,7,6.704814435
most,3,25,6.238324625
moth,1,5,3.688879454
mother,2,4,7.824046011
motherboard,3,2,13.81551056
motion,3,3,12.59911523
Motorola,1,1,5.298317367
mouth,1,1,5.298317367
move,3,5,11.06663836
movies,1,1,5.298317367
mp,8,75,7.846634024
MSG,2,2,9.210340372
much,18,27,36.04464901
multi,1,3,4.199705078
multitasking,2,2,9.210340372
muns,10,8,32.18875825
music,5,5,18.44439727
n,2,200,0
NA,1,1,5.298317367
Nadiya,1,1,5.298317367
names,1,1,5.298317367
Nanook,3,2,13.81551056
natural,1,2,4.605170186
ND,3,4,11.73606902
NE,1,4,3.912023005
nearest,2,2,9.210340372
necessary,1,1,5.298317367
need,14,25,29.11218158
needed,4,4,15.64809202
needs,7,6,24.54590528
negative,2,2,9.210340372
negatives,1,1,5.298317367
negligible,1,1,5.298317367
net,1,5,3.688879454
network,3,3,12.59911523
new,19,19,44.72368936
news,1,1,5.298317367
next,3,3,12.59911523
nexus,6,5,22.13327672
NFC,2,2,9.210340372
NFS,1,1,5.298317367
nice,15,13,41.00052014
night,1,2,4.605170186
nightmare,1,1,5.298317367
no,2,107,1.250977064
nobody,1,1,5.298317367
non,4,5,14.75551782
none,2,2,9.210340372
normal,16,12,45.01457147
nosy,2,1,10.59663473
notch,2,2,9.210340372
note,4,3,16.79882031
nothing,4,4,15.64809202
notice,1,6,3.506557897
noticed,4,5,14.75551782
notification,3,4,11.73606902
notifications,1,1,5.298317367
number,4,4,15.64809202
numerous,2,2,9.210340372
offer,3,4,11.73606902
offered,1,1,5.298317367
offers,1,1,5.298317367
office,1,1,5.298317367
official,1,1,5.298317367
offset,1,1,5.298317367
Ojibwas,1,1,5.298317367
OK,6,6,21.03934738
okay,3,4,11.73606902
old,6,25,12.47664925
om,1,132,0.415515444
one,26,188,1.608760497
ones,1,54,1.30933332
op,14,82,12.48237367
open,6,8,19.31325495
opened,1,1,5.298317367
opens,1,1,5.298317367
operating,1,1,5.298317367
opinion,1,1,5.298317367
opp,1,21,2.253794929
opportunity,1,1,5.298317367
opt,1,16,2.525728644
opted,2,2,9.210340372
optic,1,1,5.298317367
option,11,13,30.0670481
options,4,4,15.64809202
order,3,10,8.987196821
ordered,7,7,23.46685052
ordinary,2,2,9.210340372
Oreo,1,1,5.298317367
OS,12,14,31.91112044
OT,2,2,9.210340372
other,3,26,6.120662486
others,4,4,15.64809202
outdoor,1,2,4.605170186
outdoors,1,1,5.298317367
outperforms,1,1,5.298317367
outside,1,1,5.298317367
outstanding,1,1,5.298317367
overall,12,16,30.30874373
overpriced,1,1,5.298317367
owing,1,4,3.912023005
owner,1,2,4.605170186
ownership,1,1,5.298317367
oxygen,12,12,33.7609286
p,5,200,0
package,3,3,12.59911523
packaging,4,3,16.79882031
packed,1,1,5.298317367
packing,7,5,25.82215618
paid,4,4,15.64809202
pain,2,2,9.210340372
panel,3,3,12.59911523
pap,9,31,16.77897146
paps,26,23,56.23340192
par,5,44,7.570638663
para,1,4,3.912023005
parking,1,1,5.298317367
part,9,19,21.18490549
parts,6,4,23.47213803
party,1,1,5.298317367
pas,1,7,3.352407217
pass,1,3,4.199705078
passed,1,1,5.298317367
past,1,3,4.199705078
patched,1,1,5.298317367
pathetic,6,6,21.03934738
pause,1,1,5.298317367
pay,6,6,21.03934738
paying,1,1,5.298317367
PC,2,2,9.210340372
peace,1,1,5.298317367
peed,1,22,2.207274913
peeled,1,1,5.298317367
peeps,1,1,5.298317367
penny,2,2,9.210340372
people,12,11,34.80506512
peoples,1,1,5.298317367
percent,1,1,5.298317367
perfect,14,17,34.51145631
performance,44,39,71.9292517
performer,1,1,5.298317367
performing,2,2,9.210340372
performs,1,2,4.605170186
Peria,1,1,5.298317367
period,1,1,5.298317367
permanent,1,1,5.298317367
permission,1,2,4.605170186
permissions,1,1,5.298317367
person,5,11,14.50211047
personal,2,6,7.013115795
persuading,1,1,5.298317367
pesky,1,1,5.298317367
Pete,1,1,5.298317367
phenomenal,2,2,9.210340372
phone,366,171,57.33529448
phones,55,50,76.24618986
photo,4,11,11.60168837
photos,9,7,30.17166496
physical,2,2,9.210340372
pica,2,2,9.210340372
pick,2,2,9.210340372
picture,6,16,15.15437187
pictures,13,10,38.94451956
piece,10,10,29.95732274
pigpen,2,2,9.210340372
pin,1,12,2.813410717
pinkish,1,1,5.298317367
pinpoint,1,1,5.298317367
pis,3,3,12.59911523
pixel,4,5,14.75551782
pixels,6,3,25.19823047
pl,2,136,0.771324962
place,1,18,2.407945609
placed,2,4,7.824046011
placement,1,9,3.101092789
plan,3,3,12.59911523
plastic,1,1,5.298317367
play,4,30,7.58847994
played,1,2,4.605170186
player,1,1,5.298317367
playing,6,5,22.13327672
please,12,14,31.91112044
pleased,3,3,12.59911523
pleasure,1,1,5.298317367
plenty,1,1,5.298317367
plugged,1,1,5.298317367
plus,1,88,0.820980552
pm,1,3,4.199705078
pocket,3,3,12.59911523
poi,1,26,2.040220829
point,7,24,14.84184475
pointer,1,1,5.298317367
policies,2,2,9.210340372
polymer,1,1,5.298317367
poop,1,1,5.298317367
poor,7,8,22.53213077
popular,2,1,10.59663473
port,2,14,5.318520074
portable,1,1,5.298317367
positive,2,5,7.377758908
positives,3,3,12.59911523
possible,1,2,4.605170186
post,1,2,4.605170186
posted,1,1,5.298317367
potential,1,1,5.298317367
power,9,13,24.60031208
powered,1,1,5.298317367
powerful,2,2,9.210340372
pr,2,149,0.588742121
predefined,1,1,5.298317367
pref,1,3,4.199705078
prefer,2,2,9.210340372
premium,8,7,26.81925774
presentation,1,1,5.298317367
press,1,9,3.101092789
pressed,1,2,4.605170186
pressing,1,1,5.298317367
pressure,1,1,5.298317367
pretty,3,10,8.987196821
previous,4,4,15.64809202
price,51,41,80.82201029
priced,1,2,4.605170186
pricing,2,2,9.210340372
prim,1,6,3.506557897
primary,2,2,9.210340372
prime,3,3,12.59911523
print,3,11,8.701266281
pro,1,117,0.536143432
problem,29,29,55.99962456
problems,10,10,29.95732274
process,4,14,10.63704015
processing,2,2,9.210340372
processor,9,8,28.96988242
produce,2,3,8.399410156
produces,1,1,5.298317367
product,45,39,73.56400742
production,1,2,4.605170186
products,8,7,26.81925774
professional,2,2,9.210340372
program,1,1,5.298317367
projects,1,1,5.298317367
promote,2,2,9.210340372
promoting,1,1,5.298317367
prone,2,3,8.399410156
proof,1,1,5.298317367
proper,1,9,3.101092789
properties,1,1,5.298317367
pros,11,11,31.90464303
protection,4,4,15.64809202
protector,6,5,22.13327672
protects,1,1,5.298317367
protrudes,1,1,5.298317367
protruding,1,1,5.298317367
proud,1,1,5.298317367
prove,1,8,3.218875825
proves,1,1,5.298317367
provide,5,9,15.50546395
provided,2,2,9.210340372
provides,2,2,9.210340372
providing,2,2,9.210340372
proximity,1,1,5.298317367
puff,1,1,5.298317367
pug,1,1,5.298317367
purchase,10,15,25.90267165
purchased,8,7,26.81925774
purchasing,1,1,5.298317367
pure,2,2,9.210340372
put,6,12,16.8804643
puts,1,1,5.298317367
putting,3,3,12.59911523
quad,1,2,4.605170186
quadword,1,1,5.298317367
qualities,1,1,5.298317367
quality,65,51,88.8219627
query,1,1,5.298317367
questioning,1,1,5.298317367
quick,8,12,22.50728573
quota,1,1,5.298317367
r,2,200,0
radio,1,1,5.298317367
ram,43,37,72.55817652
rang,1,17,2.465104022
range,12,16,30.30874373
ranges,1,1,5.298317367
rate,3,15,7.770801496
rating,2,5,7.377758908
rave,1,7,3.352407217
raven,1,1,5.298317367
ravishing,1,1,5.298317367
raw,1,4,3.912023005
razor,1,1,5.298317367
rd,3,61,3.562330507
reach,1,1,5.298317367
read,4,20,9.210340372
reading,1,1,5.298317367
ready,3,13,8.200104027
real,4,40,6.43775165
reality,1,1,5.298317367
realized,2,2,9.210340372
reapplied,1,1,5.298317367
rear,11,10,32.95305501
reason,2,4,7.824046011
reasonable,2,2,9.210340372
rec,3,41,4.7542359
received,8,8,25.7510066
receiving,3,3,12.59911523
recharge,1,1,5.298317367
recipients,1,1,5.298317367
reckon,1,1,5.298317367
recognition,1,1,5.298317367
recognize,1,2,4.605170186
recognizes,1,1,5.298317367
recommend,8,11,23.20337675
recommended,3,3,12.59911523
recommending,1,1,5.298317367
record,1,5,3.688879454
recorder,1,1,5.298317367
recording,3,3,12.59911523
recover,1,2,4.605170186
recovery,1,1,5.298317367
rectifications,1,1,5.298317367
red,2,39,3.269511441
refund,2,2,9.210340372
refurbished,1,1,5.298317367
regards,1,1,5.298317367
registered,1,1,5.298317367
regret,4,8,12.8755033
regrets,2,2,9.210340372
regretted,1,1,5.298317367
regretting,1,1,5.298317367
regular,2,4,7.824046011
reinstalled,1,1,5.298317367
related,2,2,9.210340372
relation,1,1,5.298317367
release,3,5,11.06663836
released,2,2,9.210340372
reliance,1,1,5.298317367
remember,2,2,9.210340372
removable,1,1,5.298317367
remove,1,2,4.605170186
removed,1,1,5.298317367
reno,1,1,5.298317367
rep,1,27,2.002480501
repair,2,8,6.43775165
repaired,3,3,12.59911523
repairing,3,2,13.81551056
repairs,1,1,5.298317367
reparable,1,1,5.298317367
repeat,2,2,9.210340372
replace,4,15,10.36106866
replaced,3,3,12.59911523
replacement,8,8,25.7510066
replacements,1,1,5.298317367
replied,1,1,5.298317367
reproduction,1,1,5.298317367
reputation,2,2,9.210340372
request,5,5,18.44439727
requesting,1,1,5.298317367
require,2,2,9.210340372
required,1,1,5.298317367
resale,1,1,5.298317367
research,2,2,9.210340372
resembles,1,1,5.298317367
reset,2,2,9.210340372
residual,1,1,5.298317367
resistance,1,1,5.298317367
resolution,5,5,18.44439727
resolve,3,4,11.73606902
resolved,2,2,9.210340372
respective,1,1,5.298317367
respond,1,3,4.199705078
responding,1,1,5.298317367
response,3,3,12.59911523
responsive,2,2,9.210340372
rest,6,13,16.40020805
restart,3,4,11.73606902
restarts,1,1,5.298317367
resulting,1,1,5.298317367
results,1,1,5.298317367
rethink,1,1,5.298317367
retina,1,1,5.298317367
retired,1,1,5.298317367
return,5,5,18.44439727
returned,2,2,9.210340372
reversible,1,1,5.298317367
review,13,20,29.93360621
reviewer,1,1,5.298317367
reviews,8,8,25.7510066
rich,1,1,5.298317367
right,9,11,26.10379884
ring,5,23,10.81411575
ringing,1,1,5.298317367
rings,1,1,5.298317367
rite,1,5,3.688879454
road,1,2,4.605170186
roam,1,1,5.298317367
robust,2,2,9.210340372
robustness,1,1,5.298317367
rocked,1,1,5.298317367
ROM,1,1,5.298317367
room,1,1,5.298317367
root,1,1,5.298317367
rosewood,1,1,5.298317367
rounder,1,1,5.298317367
rs,5,98,3.566749439
rude,1,2,4.605170186
rugged,1,1,5.298317367
run,3,10,8.987196821
running,2,2,9.210340372
runs,6,6,21.03934738
rupees,1,2,4.605170186
s,11,200,0
sad,4,5,14.75551782
safe,4,5,14.75551782
safety,1,1,5.298317367
said,6,6,21.03934738
sale,2,5,7.377758908
sales,2,2,9.210340372
sandstone,1,1,5.298317367
sanity,1,1,5.298317367
sans,1,1,5.298317367
sap,1,17,2.465104022
sapwood,1,1,5.298317367
satisfaction,2,2,9.210340372
satisfactory,1,1,5.298317367
satisfied,5,5,18.44439727
saturated,1,1,5.298317367
Saturday,2,1,10.59663473
saved,1,1,5.298317367
saver,1,1,5.298317367
saves,2,2,9.210340372
saw,3,3,12.59911523
say,14,14,37.22964052
saying,1,1,5.298317367
says,2,2,9.210340372
scan,1,3,4.199705078
scanner,2,2,9.210340372
sch,1,6,3.506557897
scheduled,3,2,13.81551056
scheme,1,1,5.298317367
scratch,5,6,17.53278949
scratches,2,2,9.210340372
screen,66,45,98.44922187
screens,1,1,5.298317367
screes,1,1,5.298317367
screws,1,1,5.298317367
scroll,1,1,5.298317367
SD,1,1,5.298317367
SE,1,1,5.298317367
sealed,1,1,5.298317367
seamless,1,2,4.605170186
search,2,4,7.824046011
searching,2,2,9.210340372
seasons,1,1,5.298317367
sec,1,14,2.659260037
second,7,10,20.97012591
secondary,2,2,9.210340372
seconds,1,1,5.298317367
secure,3,2,13.81551056
security,2,2,9.210340372
see,13,29,25.10327998
seeking,1,1,5.298317367
seem,15,16,37.88592966
seems,7,7,23.46685052
seen,1,1,5.298317367
segment,4,3,16.79882031
self,3,5,11.06663836
selfish,2,2,9.210340372
seller,3,3,12.59911523
selling,2,2,9.210340372
send,2,2,9.210340372
sensor,9,10,26.96159046
sensors,3,2,13.81551056
separate,1,1,5.298317367
September,1,1,5.298317367
series,2,1,10.59663473
serious,1,4,3.912023005
server,1,1,5.298317367
serves,1,1,5.298317367
service,44,31,82.03052713
serviced,1,1,5.298317367
services,2,2,9.210340372
set,9,20,20.72326584
sets,1,1,5.298317367
setting,1,3,4.199705078
settings,2,2,9.210340372
settle,3,2,13.81551056
several,2,2,9.210340372
sexy,3,3,12.59911523
sham,1,2,4.605170186
shape,1,1,5.298317367
share,2,2,9.210340372
sharp,2,3,8.399410156
sharpness,1,1,5.298317367
shatter,2,2,9.210340372
sheer,1,1,5.298317367
shell,1,1,5.298317367
shes,1,1,5.298317367
shifted,1,1,5.298317367
shiny,1,1,5.298317367
shipment,1,1,5.298317367
shipped,1,1,5.298317367
shock,1,2,4.605170186
shocked,1,1,5.298317367
shoot,1,1,5.298317367
shopping,1,1,5.298317367
short,4,5,14.75551782
shortcut,1,1,5.298317367
shortness,1,1,5.298317367
shots,3,3,12.59911523
shoulder,1,1,5.298317367
show,2,6,7.013115795
showed,1,1,5.298317367
showing,1,1,5.298317367
shows,2,2,9.210340372
shutter,1,1,5.298317367
side,11,22,24.28002405
sides,2,3,8.399410156
sight,1,2,4.605170186
sign,1,12,2.813410717
signal,1,2,4.605170186
signals,1,1,5.298317367
significant,1,1,5.298317367
silent,3,3,12.59911523
similar,5,5,18.44439727
simple,6,6,21.03934738
simultaneous,1,1,5.298317367
sin,1,72,1.021651248
single,7,7,23.46685052
sir,2,2,9.210340372
sis,1,5,3.688879454
sister,2,2,9.210340372
sites,1,2,4.605170186
sits,2,2,9.210340372
situation,1,1,5.298317367
size,2,2,9.210340372
skin,1,4,3.912023005
skipping,1,1,5.298317367
slapped,1,1,5.298317367
sleek,6,6,21.03934738
slider,5,6,17.53278949
sliders,1,1,5.298317367
sliding,1,1,5.298317367
slight,1,4,3.912023005
slightest,1,1,5.298317367
slim,5,4,19.56011503
slip,1,9,3.101092789
slippery,3,8,9.656627475
slot,1,1,5.298317367
slots,1,1,5.298317367
slow,8,9,24.80874231
slowing,1,1,5.298317367
SLR,3,2,13.81551056
sluggishness,1,1,5.298317367
small,5,5,18.44439727
smart,28,17,69.02291263
smooth,15,17,36.97656034
snap,2,11,5.800844187
snapdragon,7,7,23.46685052
snappiness,1,1,5.298317367
snappy,3,3,12.59911523
sober,1,1,5.298317367
soft,8,24,16.96210829
software,24,17,59.16249654
sold,1,1,5.298317367
solid,1,1,5.298317367
solution,2,7,6.704814435
solved,1,3,4.199705078
solving,1,1,5.298317367
someone,1,1,5.298317367
something,5,4,19.56011503
sorry,2,2,9.210340372
sort,1,1,5.298317367
sorted,1,1,5.298317367
sot,1,1,5.298317367
soul,1,1,5.298317367
sound,12,11,34.80506512
space,4,4,15.64809202
spare,1,1,5.298317367
speaker,10,12,28.13410717
speakers,4,4,15.64809202
speaking,1,1,5.298317367
spec,3,35,5.228907915
specialized,1,1,5.298317367
specification,1,6,3.506557897
specifications,5,5,18.44439727
specs,12,14,31.91112044
speed,19,21,42.82210365
speeds,3,3,12.59911523
speedy,1,1,5.298317367
spend,1,4,3.912023005
spending,3,3,12.59911523
spent,1,1,5.298317367
spite,1,6,3.506557897
splayed,1,1,5.298317367
spoils,1,1,5.298317367
sports,1,1,5.298317367
ssh,1,1,5.298317367
st,1,184,0.083381609
stability,1,1,5.298317367
stabilization,1,1,5.298317367
stand,3,16,7.577185933
standard,2,4,7.824046011
standards,1,1,5.298317367
standby,3,2,13.81551056
standout,1,1,5.298317367
star,13,21,29.29933407
starches,1,1,5.298317367
stars,5,5,18.44439727
started,5,4,19.56011503
stated,1,1,5.298317367
states,2,2,9.210340372
station,1,1,5.298317367
stay,2,3,8.399410156
stays,1,1,5.298317367
steal,1,1,5.298317367
steel,1,1,5.298317367
stellar,1,1,5.298317367
stereo,1,1,5.298317367
stick,1,3,4.199705078
stickler,1,1,5.298317367
sticks,1,1,5.298317367
stock,7,6,24.54590528
stolen,1,1,5.298317367
stones,1,1,5.298317367
stop,1,12,2.813410717
stopped,12,11,34.80506512
storage,7,5,25.82215618
store,2,2,9.210340372
strange,2,2,9.210340372
streaming,1,1,5.298317367
stress,1,1,5.298317367
strict,1,1,5.298317367
strong,3,4,11.73606902
structure,1,1,5.298317367
students,1,1,5.298317367
stuff,1,1,5.298317367
stunning,2,2,9.210340372
stupendous,2,2,9.210340372
sturdy,1,1,5.298317367
stutter,1,1,5.298317367
stylish,1,1,5.298317367
sub,6,7,20.1144433
subject,2,1,10.59663473
submit,1,1,5.298317367
subsequent,1,1,5.298317367
substandard,1,1,5.298317367
subtle,1,1,5.298317367
sucked,1,1,5.298317367
sucks,3,3,12.59911523
sud,1,4,3.912023005
sudden,2,2,9.210340372
sufficed,1,1,5.298317367
suggest,8,9,24.80874231
suggestion,1,2,4.605170186
suggestions,1,1,5.298317367
sun,1,21,2.253794929
Sunday,1,1,5.298317367
super,16,26,32.64353326
superb,12,12,33.7609286
superiority,1,1,5.298317367
support,8,8,25.7510066
supportive,1,1,5.298317367
supports,2,2,9.210340372
supposed,1,1,5.298317367
sure,3,8,9.656627475
surfing,1,1,5.298317367
surprised,1,1,5.298317367
surprising,1,1,5.298317367
survive,1,1,5.298317367
swear,1,1,5.298317367
sweet,1,1,5.298317367
swipe,1,1,5.298317367
switch,3,11,8.701266281
switched,6,6,21.03934738
switching,2,2,9.210340372
system,3,2,13.81551056
t,10,199,0.050125418
tabs,1,1,5.298317367
tag,3,4,11.73606902
take,6,20,13.81551056
taken,1,2,4.605170186
takes,12,12,33.7609286
taking,3,3,12.59911523
talk,1,3,4.199705078
talked,1,1,5.298317367
talking,1,1,5.298317367
Tamil,1,1,5.298317367
tampered,1,1,5.298317367
tanker,1,1,5.298317367
tap,2,3,8.399410156
tapping,1,1,5.298317367
tasking,1,3,4.199705078
tasks,1,1,5.298317367
team,5,5,18.44439727
tech,3,6,10.51967369
technical,2,3,8.399410156
technology,1,1,5.298317367
tell,2,4,7.824046011
tells,1,1,5.298317367
tempered,5,3,20.99852539
temple,1,1,5.298317367
tend,1,5,3.688879454
tends,3,3,12.59911523
terms,6,5,22.13327672
terrible,1,1,5.298317367
test,4,16,10.10291458
testing,2,2,9.210340372
text,3,2,13.81551056
texture,1,1,5.298317367
thank,9,21,20.28415436
thanks,14,12,39.38775003
themes,1,1,5.298317367
Thibaut,2,1,10.59663473
thick,1,1,5.298317367
thin,3,66,3.325987874
thing,18,44,27.25429919
things,9,8,28.96988242
think,12,15,31.08320599
thinking,2,2,9.210340372
third,1,1,5.298317367
thought,6,7,20.1144433
thoughts,1,1,5.298317367
thousands,1,1,5.298317367
threw,1,1,5.298317367
thrice,1,1,5.298317367
throw,1,2,4.605170186
thrown,1,1,5.298317367
thumbs,2,2,9.210340372
time,49,55,63.25822488
times,14,22,30.90184878
tiny,1,1,5.298317367
tip,1,1,5.298317367
tis,1,11,2.900422094
told,5,5,18.44439727
tolerable,1,1,5.298317367
toll,1,1,5.298317367
toluene,1,1,5.298317367
tone,3,6,10.51967369
tones,2,3,8.399410156
took,4,4,15.64809202
tool,2,2,9.210340372
top,8,21,18.03035943
torch,1,1,5.298317367
total,1,3,4.199705078
touch,9,11,26.10379884
touched,1,1,5.298317367
touching,1,1,5.298317367
town,2,1,10.59663473
tracking,1,1,5.298317367
train,1,1,5.298317367
transactions,1,1,5.298317367
transfer,1,2,4.605170186
transferring,1,1,5.298317367
transmit,1,1,5.298317367
travel,5,4,19.56011503
traveling,2,2,9.210340372
tray,1,1,5.298317367
treat,2,4,7.824046011
treating,1,1,5.298317367
treats,1,1,5.298317367
trial,1,1,5.298317367
tried,5,5,18.44439727
trigger,1,1,5.298317367
trouble,2,2,9.210340372
troubling,1,1,5.298317367
TRUE,3,3,12.59911523
trust,8,8,25.7510066
try,7,7,23.46685052
trying,1,1,5.298317367
tube,4,4,15.64809202
tum,1,1,5.298317367
turn,4,9,12.40437116
turns,2,2,9.210340372
TV,1,1,5.298317367
tweak,1,2,4.605170186
tweaking,1,1,5.298317367
tweaks,1,1,5.298317367
twice,3,6,10.51967369
twist,1,1,5.298317367
type,10,10,29.95732274
types,1,1,5.298317367
u,9,198,0.090453023
ultimate,3,3,12.59911523
ultra,3,4,11.73606902
unaccounted,1,1,5.298317367
unadulterated,1,1,5.298317367
unbeatable,2,2,9.210340372
unbeaten,1,1,5.298317367
unchanging,1,3,4.199705078
unchangingness,2,2,9.210340372
understand,4,4,15.64809202
understood,1,1,5.298317367
unexpected,1,1,5.298317367
unfortunate,1,5,3.688879454
unfriendly,1,1,5.298317367
uniformity,1,1,5.298317367
unisex,1,1,5.298317367
universal,1,1,5.298317367
unlock,2,3,8.399410156
unlocking,1,1,5.298317367
unnatural,1,1,5.298317367
unnoticed,1,1,5.298317367
unread,1,1,5.298317367
unreliable,1,1,5.298317367
unused,1,1,5.298317367
upcoming,1,1,5.298317367
update,6,16,15.15437187
updated,2,2,9.210340372
updates,9,9,27.9098351
upgrade,1,3,4.199705078
upgraded,1,1,5.298317367
upgrades,1,1,5.298317367
Ur,2,2,9.210340372
urging,1,1,5.298317367
usable,2,1,10.59663473
usage,21,14,55.84446078
use,35,63,40.43139241
used,31,26,63.24684568
useful,3,3,12.59911523
useless,2,2,9.210340372
user,13,12,36.57433932
users,1,1,5.298317367
uses,1,1,5.298317367
using,58,50,80.40507294
usual,2,5,7.377758908
utility,2,2,9.210340372
utilization,2,2,9.210340372
value,7,7,23.46685052
variant,2,2,9.210340372
variety,1,1,5.298317367
various,2,2,9.210340372
verdict,4,4,15.64809202
versify,1,2,4.605170186
version,3,5,11.06663836
versions,1,1,5.298317367
vibrant,3,3,12.59911523
vibrate,2,2,9.210340372
video,13,13,35.53378412
videos,3,3,12.59911523
vie,11,33,19.81990786
viewing,2,2,9.210340372
views,1,9,3.101092789
VIP,1,1,5.298317367
virus,1,1,5.298317367
visa,1,2,4.605170186
visible,5,4,19.56011503
visit,3,3,12.59911523
visited,1,1,5.298317367
voice,7,8,22.53213077
voices,1,1,5.298317367
volt,3,3,12.59911523
volume,10,8,32.18875825
vulnerable,1,1,5.298317367
wait,5,8,16.09437912
waited,2,2,9.210340372
waiting,3,3,12.59911523
wall,1,2,4.605170186
Walliw,1,1,5.298317367
wallpaper,1,1,5.298317367
wanna,1,1,5.298317367
want,9,10,26.96159046
wanted,1,1,5.298317367
ware,5,23,10.81411575
warm,1,1,5.298317367
warranter,1,1,5.298317367
warranty,6,4,23.47213803
was,4,8,12.8755033
waste,2,3,8.399410156
wasted,1,1,5.298317367
watching,4,4,15.64809202
water,2,2,9.210340372
way,9,25,18.71497388
ways,2,14,5.318520074
weakness,1,1,5.298317367
web,1,4,3.912023005
website,2,3,8.399410156
websites,1,1,5.298317367
Wednesday,1,1,5.298317367
week,8,15,20.72213732
weeks,8,8,25.7510066
weighs,1,1,5.298317367
weight,6,9,18.60655674
weighted,1,1,5.298317367
welcome,1,1,5.298317367
well,1,21,2.253794929
went,8,7,26.81925774
whats,1,4,3.912023005
whelming,1,1,5.298317367
white,1,1,5.298317367
whole,8,8,25.7510066
whooping,1,1,5.298317367
whopping,1,1,5.298317367
wide,1,2,4.605170186
wife,6,6,21.03934738
window,2,3,8.399410156
windows,1,1,5.298317367
winner,1,1,5.298317367
wins,1,1,5.298317367
wise,3,9,9.303278368
wish,3,3,12.59911523
withstand,1,1,5.298317367
won,2,11,5.800844187
wonder,2,6,7.013115795
wonderful,3,3,12.59911523
wondering,1,1,5.298317367
wont,2,3,8.399410156
word,3,5,11.06663836
words,1,1,5.298317367
work,5,40,8.047189562
worked,4,4,15.64809202
working,23,19,54.13920291
works,15,14,39.88890055
world,4,4,15.64809202
worries,1,1,5.298317367
worry,4,4,15.64809202
worse,1,1,5.298317367
worst,2,2,9.210340372
worth,14,14,37.22964052
wow,2,2,9.210340372
wrapper,1,1,5.298317367
write,5,4,19.56011503
writing,3,3,12.59911523
written,2,2,9.210340372
wrong,4,4,15.64809202
wrote,1,1,5.298317367
Xanadu,1,1,5.298317367
year,15,23,32.44234726
years,10,9,31.01092789
yesterday,1,1,5.298317367
yrs,1,1,5.298317367
Zeno,1,1,5.298317367
zero,2,4,7.824046011
zoom,1,2,4.605170186
zooming,1,1,5.298317367
