,Mobile,Rating,Date,Review,Month,Year,Audio,Battery,Camera,Design,Fingerprint,Memory,OS,Performance,Others
1,Oneplus3,4,23-Dec-16,kudos one plus one best android device available across globe pros ultra fast charging body texture awesome customization level best feel good device worth paying k camera quality superb day time fingerprint just amazing cons in case g let battery gets discharge quickly only last hours one plus needs work build updates they frequent oxygen wrapper written good best like us headphones shipped one needs pay extra k ,Dec,2016,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,
2,Oneplus3,3,26-Dec-16,its almost months i using service centers supportive battery issues like stays hrs even u use in speaker mode voice less u need keep full volume hear properly sudden dip volume u reach half other aspects really good mobile considering price warranty parts things days replacement warranty but additional damage warranty year sleek attractive model,Dec,2016,Yes,Yes,,Yes,,,,,Yes
3,Oneplus3,5,02-Oct-16,if rupees wondering buy i can instantly suggest advise buy one plus phone flagship killer one plus company great phone actually i review one plus coming ravishing feature phone comes GB ram ff includes dash charging i like call Godspeed charge because i know advertising shows min goes percent i know average i swear i experienced phone going percent crazy and cam included time lapse manual mode slow motion mode awesome right honestly i remember many mega pixels camera i sure front back mega pixels i really giving blind guess and back camera kind protrudes back okay back cam flow body phone protruding battery awesome percent juice enough get day phone super thin aluminum antibody makes little slippery makes suggest great case safety importantly include earphones also makes buy new earphone use old earphone comfortable much Goliath ram useful gamer boasts GB memory non expandable memory and provides dual seem important lightning fast fingerprint sensor great innovation resulting much greater phone,Oct,2016,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,
4,Oneplus3,4,21-Oct-16,its one best best phones available market far brand conscious brand created people peoples choice unlike company created brands tech know mi talking one best now making simple peeps pros overall looks slim excellent electromagnetically performance never lagged installed paps n games peed get clarity awesome camera good bad technically great cons didn't find except say slim metallic body ill slippery move few colors icons phone bit vibrant red n blues bottom line excellent excellent phone means trust vie used Hamsun phones phone sucks rather way way better phones available market till date price just go ,Oct,2016,,,Yes,Yes,,,,Yes,Yes
5,Oneplus3,5,30-Oct-17,mi writing review one year ownership built quality awesome you can compare performance horse power sports car pros camera crispy shots like SLR p fps video ultra smooth manual mode available stability awesome screen ambled display get expensive mobiles difference normal display ambled normal display projects black areas black pixels ambled turns pixels black areas achieve true black to test download wallpaper full dark background subject middle now turn lights see dark room area dark part pixels light subject color will visible its saves battery gives rich display experience fingerprint sensor quick learns adapts fingers every time use can accurate dash charging charge worries give minutes let one plus got back always battery backup also good ram get GB ram like blazing speed cons there things,Oct,2017,,Yes,Yes,Yes,Yes,Yes,,Yes,
6,Oneplus3,5,20-Oct-16,just says specs little twist the GB ram usable GB can usable till now root feature unlock GB ram battery life may damaged but still i find issues phone two weeks just love dash charge love excellent camera thank god i settle poop never settle main part overheat although i loved bit extra battery but still issues software can boring completely bloat ware free unlike ass Hamsun i completely love phone wife direct old news phone NFC lot better banking visa transactions camera bump bother right cover op covers just good especially sandstone black pigpen best covers op the op comes screen guard also i suggest remove cover believe worth although tempered needed gorilla glass normal screen guard just feels right even though perfect fit so many customizing much add check you tube ideas phone,Oct,2016,,Yes,Yes,Yes,,Yes,Yes,,
7,Oneplus3,5,01-Jan-17,we Indians hesitant buy products new companies let tell one plus just impresses us features cool look GB ram joke i reckon budget k phone need buy compare phones phone far better please provide ear phones one paid much ,Jan,2017,,,,,,Yes,,,Yes
8,Oneplus3,4,20-Oct-16,after years using blackberries phones i just migrated android phone now this first android phone actually i developed aversion towards android just become ii Hamsun phones now wonderful experience though labeled flagship killer one feel good factor user interface superb hassle free lightening fast camera top class battery charging phenomenal moderate discharge i gamer and i use frequently day day charging day holds whole day zero sixty jiffy say minutes av the cast option lovely playing videos movies you tube directly phone smart TV ease lacking resolution with even low net speeds speed phone awesome my hand developed pain using hour may cozy new experience phone call quality OK voices calls clear flagship phones audio playing volume low sound quality near phone say s the maximum volume still enough i using phones earphones though rear camera good front camera call quality my verdict for half price flagship phone advise second thought buying just go ,Oct,2016,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes
9,Oneplus3,5,29-Oct-17,i searching good mobile two weeks i gone mobile reviews testing my search end one plus trust best smart phone GB ram light weight big screen good battery life dash charge mp camera unbeatable price tag i installed many paps quickly browsed long time mobile getting heat camera photo clarity ultimate user experience features amazing i recommend buy phone will feel awesome i ensured buy kind unchangingness performance mobile phone i faced lot personal problems thank amazon seller good product delivered within hours average packing please improve packing quality,Oct,2017,,Yes,Yes,Yes,,Yes,,Yes,Yes
10,Oneplus3,5,15-Nov-16,i searching good mobile two weeks i gone mobile reviews testing my search end one plus trust best smart phone GB ram light weight big screen good battery life dash charge mp camera unbeatable price tag i installed many paps quickly browsed long time mobile getting heat camera photo clarity ultimate user experience features amazing i recommend buy phone will feel awesome i ensured buy kind unchangingness performance mobile phone i faced lot personal problems thank amazon seller good product delivered within hours average packing please improve packing quality,Nov,2016,,Yes,Yes,Yes,,Yes,,Yes,Yes
11,Oneplus3,4,08-Oct-16,guys soft gold looks decent wont say much phone many people already talked great features though i will highlight delivery experience unfortunately worse i come across firstly delivery guy s number switched i clue delivery happen i called amazon times day absolutely clue quite surprising know amazon control delivery services finally pm i got ams saying product delivered know again called amazon time rep told process refund banged phone help mess amazon created finally phone calls i left amazon figure needs done finally lunch time guy delivered office point something goes wrong really left mercy person speaking phone BTW keep changing need repeat entire episode time ,Oct,2016,,,,Yes,,,,,
12,Oneplus3,1,08-Apr-18,bad service provided one plus went ear piece replacement service guy open phone applied pressure screen started blacking the service guy claimed water damage looted money screen ear piece happened father went get repaired fooling people don't know wrong actually no way will go one plus look way increasing costs phone,Apr,2018,,,,Yes,,,,,
13,Oneplus3,5,25-Dec-18,its buy worth money yes i using first i got one plus brother i got one plus self i got one plus t wife now latest i got one plus t mother great great great mobiles plus best feature one plus operating system updates just fantastic i face recognition system updated one plus batter charging time is min battery life normal use hrs till now amazing and top much rugged till time u actually want break cox phone fallen n number times pocket road floor even stones etc OK just pick dust use till time g coming i will forced change phone i changing just love games than big i play continuously runs min hrs so u invest one plus worth ,Dec,2018,,Yes,,Yes,,,Yes,,
14,Oneplus3,1,16-Oct-17,bought last year worked fine till months started giving problem receiving call calling cant hear voice also cant transmit call automatically switching and service on line onside pathetic far able sort problem phone few days went service center Delhi loaded software told problem software usage hours started giving problem please careful service centers metros every time problem travel a lot get sorted will lucky first time happened i literally waited one month get opportunity travel Delhi repair failed now warranter also gone now travel useless product services,Oct,2017,Yes,Yes,,,,,Yes,,
15,Oneplus3,5,22-Jan-17,i dithered buying month i heart set Google pixel but price point vis vis performance won i got one plus i wanted specifically graphite even i decided buy i constantly follow amazon see brought stock only one one piece used come back stock i finally caught the one plus free accidental damage protection offer amazon otherwise plan k i got rather t coverage the phone glorious i shifted nexus performance sweet no lag admittedly amateurish usage the camera amazing i manage eke hours battery decent usage everything works perfectly now its week i fingers crossed will continue no regrets skipping pixel ,Jan,2017,,Yes,Yes,,,,,Yes,Yes
16,Oneplus3,1,07-Aug-17,i writing review almost one year using phone i experienced cons pros plus although company states screen made corning gorilla glass specifications properties glass a customer expect glass go shatter free scratch free here glass will shatter ones thoughts it cracks simple fall bear scratch normal utility although company brags high quality parts but sad reality components quite inferior good life cycle the ear piece high frequency fault bearing component the service centers located impractically mostly malls you pay parking charges also wait long hours the service engineers also trial error type people with limited knowledge customer handling experience blame recklessly give long dates take back product over bad experience owing phone i now examined market came conclusion apple Hamsun much better phones another brand one depend Nanook rest ram arose phones,Aug,2017,,Yes,,Yes,,Yes,,,
17,Oneplus3,5,11-Jul-16,truly great flagship killers genuine replacement Hamsun flagships ND one sud always consider phone putting Ur hard earned money expensive flagships worth every penny was first buyers amazon,Jul,2016,,,,,,,,,
18,Oneplus3,5,10-Dec-17,it bought amazon first i thought Chinese manufacturer gave competition flagship killer like impoliticness but i realized phone unbeaten top updates receiving since firstly i managed software now Oreo i like thank one plus team great work i must suggest others buy product simultaneous professional reviewer company its authenticated buy one thank reading i wish will help anywhere else,Dec,2017,,,,,,,Yes,,
19,Oneplus3,4,19-Oct-16,om just one look will forget phones like phone Hamsun galaxy series one plus delivered one best phone currently available market lower price i using weeks now install paps just check well performs all the high end games i switched shows sign lag only disadvantages stereo speakers sound quality good best like defalcate nexus series definitely worth buying just try OT ,Oct,2016,Yes,,,,,,,Yes,Yes
20,Oneplus3,1,22-Feb-18,guys bought phone the phone worked beauty meanwhile sudden mother board stopped working got replaced free cost then phone stopped working properly turns every bloody hour annoying spending even working well couple hours horrible i wish go back old golden Nanook Nanook days,Feb,2018,,Yes,,,,,,,
21,Oneplus3,4,10-Oct-16,excellent smart phone dash charger charges battery fast practically useful daily lifestyle smart phone usage pros dash charge fast charging GB ram now way slowing lag free oxygen OS good ambled display camera quality segment good call quality cons since sub type c widely available need bring charger cable fast charge micro sub adapter normal charge micro sub adapter charging data transfer compatibility backward compatibility micro sub tog you buy separate sub type c tog giving star packing packaging protection it better overall one plus good choice daily usage,Oct,2016,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes
22,Oneplus3,4,06-Dec-16,a great phone great device one plus been using phone month now mi pleased performance the call quality also good using two g seems jig reliance performing well also volt support seem slots the GB storage enough data storage needs paps missing exclusion expandable memory card slot camera performance also great the thing mi happy battery life but dash charging vie made peace with one plus t bigger capacity battery longer issue but i hope get power bank pretty soon supports dash charging overall great purchase was disappointed delivery amazon one though,Dec,2016,,Yes,Yes,Yes,,Yes,,Yes,
23,Oneplus3,5,13-Nov-18,one plus one best phone price everything except camera premium quality it super fast processing speed good space rear camera good except low light front camera pathetic best feature phone dash charge although cable quality doubtful vie changed cables years the cables best shape cut internal cut bending just problem type c port connects phone side just stopped dash charging non dash charging PC connectivity working fine though,Nov,2018,,Yes,Yes,,,Yes,,Yes,Yes
24,Oneplus3,4,22-Dec-16,no doubt phone really good first things first i give one star i using one plus one earlier i miss certain software features sometimes simple direct entry soon finished pressing last digit code i hope will try work things due course time the speed good including unlocking fingerprint sensor the grudge one plus i i mistakenly ordered confusing presentation phone website availability white colored curved screen protector ready replace black one i open package well in todays world seems strange selfish way treating loyal customer buying second phone well left choice i selling on line now lox Bengali if anyone interested can let know comment ,Dec,2016,,,,Yes,Yes,,Yes,Yes,
25,Oneplus3,2,29-Dec-16,i used one plus now using one plus one plus gives great specifications low price however far longevity concerned one plus phones prone hardware problems check one plus camera focus issue you will find many people facing hardware problem subsequent months use in case i stay quota Astrakhan nearest service station km away Jaipur next time use throw one plus models,Dec,2016,,,Yes,Yes,,,,,Yes
26,Oneplus3,2,18-Dec-16,i used exactly months switched Hamsun want know read they use fake gorilla glass but advertise gorilla glass do believe the phone elegant superb excellent performance but downside fragile i accidentally dropped ft thats the screen got infinite cracks i laughed buying cheap part flagship Chinese phone called one plus i personally visited Bangalore one plus exclusive center all one answer sorry sir parts replacement visit us later one plus focusing t device now customer desk told manufacturing one plus parts even china hub parts shipment i returned back solution hand guys be careful buying Chinese brand especially one plus falls breaks s its history you guys pay much getting delicate phone withstand even feet fall the battery backup match phones it doesn't even last one full day verdict have eyes open going Chinese brand don't just see specs look customer service also,Dec,2016,,Yes,,Yes,,,,Yes,
27,Oneplus3,4,01-Nov-16, don't know mile screen fade gradient display screen color subtle paps almost barely visible dark mode visible drop notifications panel just know issue phone also dash charge may charge device rapidly don't expect battery last long expected ram heavy paps drain battery quite fast apart phone amazing right par performance high end phones like galaxy s,Nov,2016,,Yes,,Yes,,Yes,,Yes,
