Attribute,TFIDF
ab,2.475748712
able,9.084766396
absent,5.298317367
absolute,3.912023005
accept,5.298317367
access,4.199705078
accessible,5.298317367
accessories,5.298317367
accidental,14.75551782
account,4.605170186
accurate,9.210340372
ace,1.771956842
achieve,4.605170186
act,1.801809805
active,4.605170186
actual,2.995732274
ad,0.776528789
adapter,13.81551056
adaptive,5.298317367
adapts,5.298317367
add,11.98292909
adding,5.298317367
addition,3.912023005
additional,12.59911523
address,4.605170186
addresses,5.298317367
adjustment,5.298317367
adventures,5.298317367
advertise,5.298317367
advertising,5.298317367
advisable,5.298317367
advise,9.210340372
aesthetics,5.298317367
afford,4.199705078
affordable,9.210340372
afraid,9.210340372
aha,5.298317367
airplane,5.298317367
alert,9.210340372
alga,5.298317367
allow,11.73606902
aluminum,9.210340372
amateurish,5.298317367
amazed,12.59911523
amazes,5.298317367
amazing,52.97480339
amazon,65.56240315
ambled,28.05246318
Ammamaria,5.298317367
amount,9.210340372
ams,4.507589858
anal,5.298317367
android,7.223836826
angle,4.199705078
angles,9.210340372
animation,5.298317367
animations,5.298317367
animosity,5.298317367
announced,5.298317367
annoying,4.199705078
answer,4.605170186
answers,5.298317367
antibody,5.298317367
anybody,5.298317367
anyone,12.59911523
anything,12.59911523
apple,17.53278949
apples,5.298317367
applied,4.605170186
appreciate,11.73606902
appreciated,5.298317367
appreciation,5.298317367
approx,4.199705078
are,2.510532197
area,22.13327672
areas,13.81551056
arena,5.298317367
arose,9.210340372
arrange,5.298317367
arrangements,5.298317367
arrived,5.298317367
article,5.298317367
ask,6.43775165
asked,5.298317367
asks,4.605170186
aspect,3.912023005
aspects,12.59911523
asphalt,11.06663836
ass,6.360790609
associates,5.298317367
attended,5.298317367
attention,5.298317367
attractive,5.298317367
attracts,5.298317367
audio,20.99852539
authenticated,5.298317367
authorized,5.298317367
auto,6.704814435
availability,9.210340372
available,42.93738695
average,37.21311347
aversion,5.298317367
avg,5.298317367
awesome,77.16592926
awful,5.298317367
back,3.074234502
background,15.64809202
backup,32.95305501
bad,44.72368936
bag,5.298317367
ban,3.218875825
band,5.298317367
bang,8.399410156
Bangalore,5.298317367
banged,5.298317367
bank,4.199705078
banking,5.298317367
banks,5.298317367
bar,11.73606902
barring,5.298317367
based,5.298317367
basic,11.06663836
basis,5.298317367
bass,5.298317367
batch,10.59663473
batter,0.94160854
battery,96.04407107
be,0.693147181
bear,5.298317367
bearing,5.298317367
beast,37.70548722
beat,2.995732274
beats,21.03934738
beautiful,9.210340372
beauty,5.298317367
Bechtel,5.298317367
become,8.399410156
becomes,5.298317367
been,9.210340372
behave,5.298317367
behavior,5.298317367
being,5.298317367
believe,24.54590528
bending,5.298317367
benefits,5.298317367
Bengali,5.298317367
bent,9.210340372
bes,1.220779923
best,64.01857103
bet,2.040220829
beta,5.298317367
better,47.82715546
bi,1.203972804
big,31.08320599
bigger,12.59911523
biggest,5.298317367
birthday,5.298317367
bit,31.91112044
biz,5.298317367
black,22.13327672
blackberries,5.298317367
blacking,5.298317367
blame,5.298317367
blazing,15.64809202
blind,5.298317367
blink,13.81551056
bloat,11.06663836
bloats,5.298317367
bloody,5.298317367
blown,5.298317367
blueish,5.298317367
blues,5.298317367
blur,4.605170186
blurred,5.298317367
board,3.912023005
boasts,5.298317367
body,26.10379884
bogged,5.298317367
boring,5.298317367
bother,5.298317367
bottom,12.59911523
bought,57.1261832
box,26.81925774
bracket,9.210340372
brags,5.298317367
brand,38.94451956
brands,13.81551056
brave,5.298317367
break,3.912023005
breakage,5.298317367
breaks,5.298317367
brightness,9.210340372
brilliant,24.54590528
bring,9.210340372
broad,5.298317367
broke,7.377758908
broken,12.59911523
brother,12.59911523
brought,5.298317367
browsed,9.210340372
browsing,9.210340372
BTW,5.298317367
buck,4.605170186
bucks,5.298317367
budget,23.46685052
bug,16.79882031
bugs,5.298317367
build,27.9098351
builds,5.298317367
built,21.70764952
bulge,5.298317367
bulky,9.210340372
bum,3.506557897
bump,22.13327672
bumps,5.298317367
burs,4.605170186
burst,5.298317367
butter,5.298317367
button,23.46685052
buttons,10.59663473
buy,72.80543373
buyer,4.605170186
buyers,5.298317367
buying,39.38775003
c,0.070352351
cable,24.54590528
cables,10.59663473
calibration,5.298317367
call,39.44036385
called,24.54590528
caller,5.298317367
calling,12.59911523
calls,21.03934738
cam,7.491683231
came,2.56699833
camera,102.8987808
cameras,9.210340372
cancel,5.298317367
candy,5.298317367
cannot,5.298317367
cant,16.76203609
capability,5.298317367
capacity,5.298317367
capture,16.79882031
captures,5.298317367
car,6.907755279
card,26.81925774
cards,5.298317367
care,10.05722165
careful,12.59911523
careless,5.298317367
carry,14.75551782
carrying,5.298317367
case,33.7609286
cases,5.298317367
cash,21.19326947
cast,4.605170186
casting,5.298317367
category,9.210340372
caught,5.298317367
cause,4.199705078
causing,9.210340372
celebrating,5.298317367
cell,11.76939194
cellular,5.298317367
center,40.01593259
centers,15.64809202
CEO,5.298317367
certain,7.824046011
certificate,5.298317367
challenge,8.399410156
challenges,5.298317367
chances,5.298317367
change,6.43775165
changed,9.210340372
changer,5.298317367
changes,9.210340372
changing,10.51967369
charge,63.13159216
charged,12.59911523
charger,59.57614481
charges,29.95732274
charging,87.6156833
charm,14.75551782
charming,5.298317367
chartered,5.298317367
charts,5.298317367
chased,3.218875825
cheap,8.399410156
cheaper,5.298317367
check,21.03934738
cheers,5.298317367
chi,7.577185933
china,5.298317367
Chinese,40.577674
chip,12.59911523
choice,19.56011503
choose,5.298317367
city,4.605170186
claim,4.605170186
claimed,5.298317367
clarity,21.03934738
class,12.8755033
classy,15.64809202
clear,8.399410156
clearer,5.298317367
clicking,5.298317367
clip,5.298317367
close,3.912023005
closed,9.210340372
clue,10.59663473
coated,5.298317367
coating,9.210340372
code,5.298317367
cola,5.298317367
collaborate,5.298317367
color,29.00422094
colored,5.298317367
colors,12.59911523
coma,5.298317367
combination,5.298317367
come,17.68010051
comes,20.1144433
comfortable,9.210340372
coming,18.60655674
commendable,5.298317367
comment,5.298317367
common,15.64809202
community,9.210340372
companies,9.210340372
company,41.00052014
compare,22.1859362
compared,25.7510066
comparison,5.298317367
compass,5.298317367
compatibility,10.59663473
compatible,5.298317367
compensate,9.210340372
compete,5.298317367
competition,12.59911523
complain,3.506557897
complains,5.298317367
complaint,3.912023005
complaints,12.59911523
complete,6.704814435
component,5.298317367
components,5.298317367
compress,5.298317367
compromise,5.298317367
compromising,5.298317367
con,2.61866664
concern,7.377758908
concerned,12.59911523
concerns,5.298317367
conclusion,9.210340372
condition,8.399410156
conditions,5.298317367
confidence,5.298317367
confused,5.298317367
confusing,5.298317367
connected,5.298317367
connectivity,9.210340372
connector,5.298317367
connects,5.298317367
cons,46.6457978
conscious,5.298317367
consider,3.912023005
considering,12.59911523
consumed,5.298317367
consumes,5.298317367
contact,9.210340372
continua,5.298317367
continue,9.210340372
control,5.298317367
controversy,5.298317367
convenient,5.298317367
cool,9.210340372
core,5.298317367
corner,5.298317367
corning,4.605170186
correct,5.298317367
correspondence,5.298317367
cost,23.96585819
costly,5.298317367
costs,9.210340372
cot,5.298317367
couple,12.59911523
course,9.210340372
cover,44.72368936
coverage,9.210340372
covered,5.298317367
covering,5.298317367
covers,13.81551056
cox,8.399410156
cozy,4.605170186
CPU,5.298317367
cracked,5.298317367
cracks,9.210340372
crashed,5.298317367
crazy,9.210340372
created,16.79882031
creates,9.210340372
credit,10.59663473
crisp,8.399410156
crispy,5.298317367
crossed,9.210340372
crush,5.298317367
cud,5.298317367
curved,9.210340372
custom,2.302585093
customer,29.00422094
customers,16.79882031
customization,16.76203609
customizations,9.210340372
customizing,5.298317367
cut,9.210340372
cyanogen,9.210340372
cycle,5.298317367
d,0.020050167
dab,3.352407217
daily,5.298317367
damage,21.70764952
damaged,12.59911523
damn,5.298317367
dark,20.99852539
dash,76.75299754
DAT,5.298317367
data,22.13327672
date,15.13976205
dates,2.995732274
day,58.75914455
daylight,5.298317367
days,51.90775561
dead,8.399410156
deadly,5.298317367
deal,11.73606902
death,5.298317367
DEC,5.298317367
decent,27.9098351
decided,5.298317367
decision,18.44439727
defalcate,5.298317367
default,12.59911523
defect,4.605170186
defective,5.298317367
defend,5.298317367
definitive,5.298317367
degraded,5.298317367
degree,5.298317367
delaying,5.298317367
delete,16.79882031
deleted,5.298317367
Delhi,10.59663473
delicacy,5.298317367
delicate,15.64809202
deliver,6.761384786
delivered,28.96988242
delivery,50.5259407
dent,5.991464547
dents,4.605170186
department,10.59663473
depend,5.298317367
descent,5.298317367
description,9.210340372
design,24.80874231
designed,5.298317367
desk,5.298317367
detailed,9.210340372
details,5.298317367
deteriorate,5.298317367
deteriorating,5.298317367
developed,10.59663473
developer,4.605170186
developers,5.298317367
device,63.10625801
devices,9.210340372
DI,5.298317367
did,12.59911523
dies,5.298317367
difference,9.210340372
different,16.79882031
difficult,9.210340372
digit,5.298317367
dimensions,5.298317367
din,2.120263536
Dinah,15.8949521
dip,5.298317367
direct,8.399410156
dis,1.5847453
disabled,5.298317367
disadvantages,5.298317367
disappoint,2.590267165
disappointed,35.53378412
disappointing,5.298317367
discernible,5.298317367
discharge,9.210340372
discount,15.8949521
dislike,5.298317367
disorderedness,5.298317367
display,66.7749677
displays,5.298317367
distance,9.210340372
dithered,5.298317367
division,5.298317367
do,29.83309754
documented,5.298317367
does,15.64809202
don,2.253794929
done,15.64809202
