Mobile,Rating,Date,Review,Month,Year,Audio,Battery,Camera,Design,Fingerprint,Memory,OS,Performance,Others
vivo v7,5,26-Jul-18,mobile features average battery holding design usage fine nice even say light weight regarding camera worth buy picture quality good night rear dual camera front camera also per expectation rest want buy better go mi phones,Jul,2018,,Yes,Yes,Yes,,,,,
vivo v7,4,23-Jun-18,review months use indeed camera music phone value money battery back great charging super fast no heating issue till now i like position audio jack overall bad deal i got good offer price,Jun,2018,Yes,Yes,Yes,Yes,,,,Yes,Yes
vivo v7,5,21-Jun-18,such killer product looks premium good grip best camera class has interface phone battery lasts longer ones competitors,Jun,2018,,Yes,Yes,Yes,,,,,
vivo v7,4,01-Jul-18,sometimes lags much no android update slow processing speed takes much time click portrait images front flash bad blurry image even front flash ,Jul,2018,,,Yes,,,,Yes,Yes,
vivo v7,5,06-Aug-18,a phone near perfection fully satisfied earlier vivo v so made die hard fan brand vivo guys will never regret buying amazon using vivo brand,Aug,2018,,,,,,,,,
vivo v7,5,04-Oct-18,nice product good quality working well good quality pictures fast,Oct,2018,,,,,,,,Yes,
vivo v7,5,11-Jun-18,in range best choice,Jun,2018,,,,,,,,,
vivo v7,4,11-Sep-18,looking awesome easy use especially camera good worth head phones chargers,Sep,2018,,,Yes,Yes,,,,,
vivo v7,4,28-Feb-18,nice phone camera quality good,Feb,2018,,,Yes,,,,,,
vivo v7,3,18-Jun-18,picture quality low compared v i used i thinking picture quality clear v bad quality i assumed night selfish also bad,Jun,2018,Yes,,Yes,,,,,,
vivo v7,4,12-Jun-18,the phone really good sound camera battery backup good phone running smoothly lagging issues and amazon delivery security good,Jun,2018,Yes,Yes,Yes,,,,,,
vivo v7,5,07-Nov-18,loved product ego though product super good still made china ,Nov,2018,,,,,,,,Yes,
vivo v7,5,03-Nov-18,the look amazing worth money product camera really good mad processor also good,Nov,2018,,,Yes,,,,,,
vivo v7,5,15-Nov-18,awesome phone user friendly settings phone this missing phone i used face many problems although nice device,Nov,2018,,,,Yes,,,,,
vivo v7,5,28-Aug-18,good unit far bought phone APR features good and performance good ,Aug,2018,,,,,,,,Yes,
vivo v7,5,21-Jun-18,its OK better money phone,Jun,2018,,,,,,,,,
vivo v7,5,14-Dec-18,good,Dec,2018,,,,,,,,,
vivo v7,5,08-Jul-18,awesome product perfect delivery worth money everything perfect ,Jul,2018,,,,,,,,,
vivo v7,4,15-Jun-18,nice phone satisfied expectations bought used Hamsun dynamic display attractive icons worth purchase,Jun,2018,,,,Yes,,,,,
vivo v7,2,29-May-18,phone good battery backup rd class when i use phone battery drain every minute mi satisfied vivo v mobile phone,May,2018,,Yes,,Yes,,,,,
vivo v7,1,03-Jun-18,don't go the main camera like VGA camera waste money,Jun,2018,,,Yes,,,,,,
vivo v7,4,18-Nov-18,picture quality excellent,Nov,2018,,,,,,,,,
vivo v7,4,23-Aug-18,its one best smart phone price range satisfied purchase,Aug,2018,,,,,,,,,Yes
vivo v7,3,22-May-18,average,May,2018,,,,,,,,,
vivo v7,5,27-Dec-18,good one,Dec,2018,,,,,,,,,
vivo v7,5,03-Aug-18,its awesome n cool product i recommend everyone can go ahead purchase,Aug,2018,,,,,,,,,
vivo v7,4,08-Nov-18,only size matter else good,Nov,2018,,,,,,,,,
vivo v7,5,25-Apr-18,awesome mobile best price camera selfish clear good settings back tension,Apr,2018,Yes,,Yes,,,,,,Yes
vivo v7,2,07-Jul-18,not good mobile buy product really worth money mobile update ,Jul,2018,,,,,,,Yes,,
vivo v7,5,30-Jul-18,nice phone working seamless couple months,Jul,2018,,,,,,,,,
vivo v7,5,23-Dec-18,value money,Dec,2018,,,,,,,,,
vivo v7,4,08-Dec-18,slim lightweight phone battery life also good touch also good,Dec,2018,,Yes,,Yes,,,,,
vivo v7,3,01-Aug-18,Hoboken mode good compare red mi phones,Aug,2018,,,,,,,,,
vivo v7,5,26-Oct-18,nice smart phone best selfish camera ii friendly very light weight slim,Oct,2018,,,Yes,Yes,,,,,
vivo v7,4,06-Dec-18,great phone,Dec,2018,,,,,,,,,
vivo v7,4,21-Jun-18,vivo v phone good camera quality good also battery backup good,Jun,2018,,Yes,Yes,,,,,,
vivo v7,5,07-Nov-18,best price,Nov,2018,,,,,,,,,Yes
vivo v7,5,22-Jun-18,excellent gadget,Jun,2018,,,,,,,,,
vivo v7,1,13-May-18,had issues phone network connection got replaced gallery,May,2018,Yes,,,,,,,,
vivo v7,5,17-Dec-18,good,Dec,2018,,,,,,,,,
vivo v7,4,14-Feb-18, nice,Feb,2018,,,,,,,,,
vivo v7,4,16-Oct-18,i like mobile totally i dislike volume performance,Oct,2018,Yes,,,,,,,Yes,
vivo v7,3,29-Jun-18,keypad compact touch also good,Jun,2018,,,,Yes,,,,,
vivo v7,5,07-Oct-18,good phone,Oct,2018,,,,,,,,,
vivo v7,5,13-Jul-18, marvelous phone working good delivery fast thanks amazon,Jul,2018,,,,,,,,Yes,
vivo v7,5,21-Mar-18,phone just awesome,Mar,2018,,,,,,,,,
vivo v7,5,16-Apr-18,nice product,Apr,2018,,,,,,,,,
vivo v7,4,19-May-18,good phone but battery capacity make better price comparatively high,May,2018,,Yes,,,,,,,Yes
vivo v7,1,14-Oct-18,less than months after buying the phone it has started giving network issues,Oct,2018,Yes,,,,,,,,
vivo v7,4,01-Mar-18,OK,Mar,2018,,,,,,,,,
vivo v7,5,03-Jan-19,very good mobile best picture quality battery life much ,Jan,2019,,Yes,,,,,,,
vivo v7,5,20-Jul-18,killer,Jul,2018,,,,,,,,,
vivo v7,5,14-Mar-18, good phone,Mar,2018,,,,,,,,,
vivo v7,3,10-Jul-18,working condition earphones poor network properly working,Jul,2018,Yes,,,,,,,,
vivo v7,5,20-Dec-18,vivo becoming best smart phone lot features,Dec,2018,,,,,,,,,
vivo v7,5,31-Aug-18, good,Aug,2018,,,,,,,,,
vivo v7,5,19-Jul-18,awesome phone,Jul,2018,,,,,,,,,
vivo v7,4,02-Sep-18,overall good phone pricey,Sep,2018,,,,,,,,,
vivo v7,4,24-Jun-18,this mobile awesome camera speakers but storage room less,Jun,2018,,,Yes,,,Yes,,,
vivo v7,5,31-Jan-18,nice product,Jan,2018,,,,,,,,,
vivo v7,5,18-Feb-18,excellent mobile,Feb,2018,,,,,,,,,
vivo v7,5,15-Feb-18,i like product,Feb,2018,,,,,,,,,
vivo v7,1,09-Feb-18,don't invest money device,Feb,2018,,,,Yes,,,,,
vivo v7,1,23-Dec-18,who total waste,Dec,2018,,,,,,,,,
vivo v7,1,28-May-18,don't buy phone got faulty days even return ,May,2018,,,,,,,,,
vivo v7,1,16-Apr-18,worst experience Capet,Apr,2018,,,,,,,,,
vivo v7,1,28-Mar-18,bad deal,Mar,2018,,,,,,,,,
vivo v7,1,19-Apr-18,cant use without bake case rear camera lenses damage using without bake case r vouch and paps r move SD card paps store mobile storage,Apr,2018,,,Yes,Yes,,Yes,,,
vivo v7,1,27-Apr-18,new by vivo product it hangs and not working after just expiring of warranty period camera is rubbish phone is totally rubbish,Apr,2018,,,Yes,,,,,,Yes
vivo v7,1,15-May-18, purchase,May,2018,,,,,,,,,
vivo v7,1,19-Mar-18,worst phone vivo range phones price maximum ,Mar,2018,,,,,,,,,Yes
vivo v7,1,17-Jan-18,donut buy pixel density display will bad,Jan,2018,,,Yes,Yes,,,,,
vivo v7,1,28-Mar-18,item fulfill demand please return,Mar,2018,,,,,,,,,
vivo v7,4,22-Mar-18,good phone problem seen yet i like ,Mar,2018,,,,,,,,,
vivo v7,4,26-Apr-18,good phone problem seen yet i like ,Apr,2018,,,,,,,,,
vivo v7,5,12-Feb-18,good mobile,Feb,2018,,,,,,,,,
vivo v7,5,15-Mar-18,nice product thanks amazon fast delivery now product i just received today believe nice camera operating system great phone selfish lovers take pictures even low light well full scree also provides much better view light weight fit hands well,Mar,2018,,,Yes,,,,Yes,Yes,
vivo v7,5,25-Jan-18,mobile good best signal receiving capacity times better brands regarding signals,Jan,2018,,,,,,,,,
vivo v7,4,05-Feb-18,vivo v using handset last month bought off line store thousand phone well working this best phone thousand i know gaming performance kid never play games mobile day day uses working butter smooth phone great camera,Feb,2018,,,Yes,,,,,Yes,
vivo v7,4,22-Dec-18,all good,Dec,2018,,,,,,,,,
vivo v7,5,07-Dec-18,excellent product great camera output battery life smooth multi tasking without lags,Dec,2018,Yes,Yes,Yes,,,,,Yes,
vivo v7,3,09-Sep-18,by look key according specifications price little high comparison mobile available realized purchasing hon,Sep,2018,,,,,,,,,Yes
vivo v7,4,16-Jun-18,expecting GB ROM price,Jun,2018,,,,,,Yes,,,Yes
vivo v7,4,12-Aug-18,handling phone felt smooth looks awesome,Aug,2018,,,,Yes,,,,Yes,
vivo v7,4,09-Oct-18,good mobile vivo,Oct,2018,,,,,,,,,
vivo v7,4,27-Jun-18,hanging problem touch also work slowly,Jun,2018,,,,Yes,,,,,
vivo v7,2,06-Jan-18,please read buy snapdragon soc can get red mi rs hf fulled display compared devices price shame also getting regular software update,Jan,2018,,,,Yes,,,Yes,,Yes
vivo v7,1,19-Feb-18,don't invest money device,Feb,2018,,,,Yes,,,,,
vivo v7,5,08-Jan-18,camera awesome build quality also fine one can make phone better metal body,Jan,2018,,,Yes,Yes,,,,,
vivo v7,3,20-Jan-18,the discount incorrect vivo v sold price shops without discount without discount the phone quality amazing doubt,Jan,2018,,,,,,,,,Yes
vivo v7,4,13-Jan-18,camera quality good however screen size exact less ,Jan,2018,,,Yes,Yes,,,,,
vivo v7,1,19-Jan-18,outdated processor just make people full,Jan,2018,,,,,,,,,
vivo v7,5,21-Jan-18,awesome phone range camera good processor things better smart phone if looking good mid range smart phone go e,Jan,2018,,,Yes,Yes,,,,,
vivo v7,2,07-Jan-18,snapdragon thats low budget don't buy vivo poop phones,Jan,2018,,,,,,,Yes,,Yes
vivo v7,3,02-Jan-18,average product,Jan,2018,,,,,,,,,
vivo v7,1,26-Jan-18,they mentioned cost emu charging interest,Jan,2018,,Yes,,,,,,,
vivo v7,4,14-Apr-18,vivo v great phone camera clarity also great,Apr,2018,,,Yes,,,,,,
vivo v7,1,23-Mar-18,earlier i using vivo v max ND satisfied phone went vivo v phone met expectations regretting buy ,Mar,2018,,,,,,,,,
vivo v7,1,23-Feb-18,phone hang ,Feb,2018,,,,,,,,Yes,
vivo v7,1,05-May-18,vivo v mobile fault camera quality bad and amazon side SE poi bi chi purchase mat Karo poi customer chi need KO Dinah Samara TA i satisfied product,May,2018,,,Yes,,,,,,
vivo v7,5,11-Jan-18,good,Jan,2018,,,,,,,,,
vivo v7,3,16-Jul-18,good,Jul,2018,,,,,,,,,
vivo v7,1,14-Jan-18,fault phone hie aide bi phone market chaise teal take hie Maj bi data,Jan,2018,,,,,,,,,
vivo v7,3,09-Feb-18,if talk camera display phone pretty good overall performance good except k phone like honor x moot gs plus much better range k k,Feb,2018,,,Yes,Yes,,,,Yes,
vivo v7,1,23-Apr-18,purely wastage money shame vivo cheapest quality phone performance front camera mega pixel advertising pf vivo don't go mobile,Apr,2018,,,Yes,,,,,Yes,
vivo v7,1,25-Jan-18,money waste due camera good myself,Jan,2018,,,Yes,,,,,,
vivo v7,5,13-Apr-18,i bought phone back December so far complaints i say phone will fall reasonable budget thank vivo providing nice phone price,Apr,2018,,,,,,,,,Yes
vivo v7,2,03-Feb-18,rare camera poor advice purchase product,Feb,2018,,,Yes,,,,,,
vivo v7,5,10-Jan-18,awesome product thank amazon,Jan,2018,,,,,,,,,
vivo v7,1,30-Jan-18,product good screen size lower get market no cover available,Jan,2018,,,,Yes,,,,,
vivo v7,1,18-Feb-18,waste camera,Feb,2018,,,Yes,,,,,,
vivo v7,1,28-Feb-18,after days purchase become slowpokes buy phone waste money,Feb,2018,,,,,,,,,
vivo v7,1,25-Mar-18,better low bad courtier service,Mar,2018,,,,,,,,,
vivo v7,2,18-Mar-18,poor canard quality,Mar,2018,,,,,,,,,
vivo v7,4,25-Feb-18,good phone value camera great mentioned description practically zoom zoom image gets blurred distorted performance good music sound quality good,Feb,2018,Yes,,Yes,,,,,Yes,
vivo v7,5,22-Feb-18,amazing phone reasonable price speed phone excellent camera quality superb long lasting battery backup,Feb,2018,,Yes,Yes,,,,,Yes,Yes
vivo v7,5,26-Jan-18, good phone worth,Jan,2018,,,,,,,,,
vivo v7,3,12-Feb-18,third party pap lock supporting vivo v even inbuilt lock system supporting,Feb,2018,,,,,,Yes,Yes,,
