Mobile,Rating,Date,Review
vivo v7,5,26-Jul-18,"Mobile features are average,

Battery, Holding, design, usage is fine and very nice even i say its very light in weight
but regarding camera its not worth to buy, picture quality is not good in night,
no rear dual camera, front camera is also not as per expectation.

Rest is up to you, if you want to buy.

Better to go with MI Phones"
vivo v7,4,23-Jun-18,"Review after a Month's use
Indeed a Camera and Music phone.. Value for money.. Battery back up is Great.. Charging is super fast.. No heating issue till now.. I didn't like the Position of audio jack. Overall for me it was not a bad deal at all as I got it at a very good offer price..??"
vivo v7,5,21-Jun-18,Such a killer product. Looks premium. Good grip. Best camera in its class. Has the interface of iPhone. Battery lasts longer than other ones in its competitors.
vivo v7,4,01-Jul-18,"Sometimes it lags too much
No android update
Slow processing speed
Takes too much time to click potrait images
Front flash is very bad
Blurry image even with front flash on"
vivo v7,5,06-Aug-18,"A phone with near to perfection. Fully satisfied. Earlier had vivo v3. So it had made me a die hard fan of brand vivo.
Guys you will never regret after buying this from Amazon and using vivo as brand."
vivo v7,5,04-Oct-18,Nice product and good quality. Working very well and good quality pictures and very fast
vivo v7,5,11-Jun-18,In it's Range best choice
vivo v7,4,11-Sep-18,Looking awesome and its easy to use especially camera was good and not worth for head phones and chargers
vivo v7,4,28-Feb-18,Nce phone camera is quality is good
vivo v7,3,18-Jun-18,Picture quality very low as compared v5 I used that. I was thinking the picture quality would be more clear than V5 but very bad quality I assumed that. Night selfie also very very bad.
vivo v7,4,12-Jun-18,"pThe Phone is really good. Sound, Camera, Battery backup all is good and the phone is running smoothly with no lagging issues. And Amazon delivary security is good."
vivo v7,5,07-Nov-18,Loved this product but my ego is not. Though the product is super good but still it's made in China ??
vivo v7,5,03-Nov-18,"The look is amazing with worth for money product, camera is really good amd processor is also good"
vivo v7,5,15-Nov-18,Awesome phone but there should be user friendly settings in the phone..This is missing in phone that's why I used to face many problems... Although it's a nice device
vivo v7,5,28-Aug-18,Good unit so far. Bought the phone in Apr 2018. Features are good andperformance is good too......
vivo v7,5,21-Jun-18,It's ok .. could do better in this money with some other phone
vivo v7,5,14-Dec-18,good
vivo v7,5,08-Jul-18,Awesome product. . . perfect delivery. . . worth for money. . . everything was perfect . . . .
vivo v7,4,15-Jun-18,"Nice phone. Satisfied my expectations. Bought this after used Samsung, having dynamic display with attractive icons. Worth to purchase."
vivo v7,2,29-May-18,Phone good but battery backup is 3rd class. When I use phone Battery drain 1% in every 1-2 minute. I'm not satisfied with this vivo v7 mobile phone.
vivo v7,1,03-Jun-18,Don't go for it. The main camera is like vga camera. Waste of money..
vivo v7,4,18-Nov-18,Picture quality is excellent
vivo v7,4,23-Aug-18,"It's is one of the best smartphone in this price range.
Satisfied with this purchase."
vivo v7,3,22-May-18,average
vivo v7,5,27-Dec-18,good one
vivo v7,5,03-Aug-18,"It's awesome n cool product, I would recommend everyone can go ahead for purchase."
vivo v7,4,08-Nov-18,Only size matter else all is good
vivo v7,5,25-Apr-18,Awesome mobile in best price... camera selfie is clear and good settings... back up is no tension…
vivo v7,2,07-Jul-18,Not a good mobile don't buy this product not really worth the money and this mobile has no update at all
vivo v7,5,30-Jul-18,Nice phone. working seamless from couple of months.
vivo v7,5,23-Dec-18,value for money
vivo v7,4,08-Dec-18,"Slim lightweight phone,battery life is also good.touch is also very good"
vivo v7,3,01-Aug-18,Bokeh mode is not Good in compare to Redmi phones.
vivo v7,5,26-Oct-18,"Nice Smartphone,
Best Selfie Camera
UI very Friendly
Very Light Weight & Slim"
vivo v7,4,06-Dec-18,great phone
vivo v7,4,21-Jun-18,Vivo V7 phone is very good and camera quality is very good also battery backup is very good…
vivo v7,5,07-Nov-18,best price
vivo v7,5,22-Jun-18,excellent gadget
vivo v7,1,13-May-18,Had issues with phone network connection. Got it replaced at gallery
vivo v7,5,17-Dec-18,good
vivo v7,4,14-Feb-18,very nice
vivo v7,4,16-Oct-18,I like this mobile totally but I would dislike volume performance
vivo v7,3,29-Jun-18,Keypad not compact.touch also not good.
vivo v7,5,07-Oct-18,good phone
vivo v7,5,13-Jul-18,"its marvellous phone working good,, delivery fast,, thanks amazone"
vivo v7,5,21-Mar-18,phone is just awesome
vivo v7,5,16-Apr-18,nice product…..
vivo v7,4,19-May-18,Good phone. But battery capacity can't make better. Price is camaratevely high.
vivo v7,1,14-Oct-18,"LESS THAN 7 MONTHS AFTER BUYING THE PHONE, IT HAS STARTED GIVING NETWORK ISSUES"
vivo v7,4,01-Mar-18,ok
vivo v7,5,03-Jan-19,"Very good Mobile with Best picture quality , battery Life and much more"
vivo v7,5,20-Jul-18,killer
vivo v7,5,14-Mar-18,very good phone
vivo v7,3,10-Jul-18,"Working condition of earphones very poor
Network not properly working"
vivo v7,5,20-Dec-18,Vivo becoming the best smartphone with lot of features
vivo v7,5,31-Aug-18,very good
vivo v7,5,19-Jul-18,awesome phone
vivo v7,4,02-Sep-18,Overall good phone but more pricey…
vivo v7,4,24-Jun-18,This mobile has awesome Camera and Speakers.But the storage room is less.
vivo v7,5,31-Jan-18,nice product
vivo v7,5,18-Feb-18,excellent mobile
vivo v7,5,15-Feb-18,I like the product
vivo v7,1,09-Feb-18,Don't invest your money in this device
vivo v7,1,23-Dec-18,Who would but this. Total Waste.
vivo v7,1,28-May-18,Don't buy ...my phone got faulty after 15 days can't even return it.
vivo v7,1,16-Apr-18,worst experience i am so apcet
vivo v7,1,28-Mar-18,bad deal
vivo v7,1,19-Apr-18,Can't use without bake case. Rear camera lenses damage when using without bake case r bouch. And apps r not move to SD card all apps store in mobile storage.
vivo v7,1,27-Apr-18,"NEW BY VIVO PRODUCT, IT HANGS AND NOT WORKING AFTER JUST EXPIRING OF WARRANTY PERIOD. CAMERA IS RUBBISH, PHONE IS TOTALLY RUBBISH"
vivo v7,1,15-May-18,do not purchase
vivo v7,1,19-Mar-18,"Wrost phone by vivo this range, phone's price should be maximum 10000"
vivo v7,1,17-Jan-18,Don’t buy because 283 pixel density display will be bad
vivo v7,1,28-Mar-18,Item does not fulfill my demand. Please return.
vivo v7,4,22-Mar-18,"Good phone, no problem seen yet.
I like it."
vivo v7,4,26-Apr-18,"Good phone, no problem seen yet.
I like it."
vivo v7,5,12-Feb-18,Good mobile
vivo v7,5,15-Mar-18,"Nice Product, Thanks to Amazon for fast Delivery.
Now about product I just received today but believe very nice camera and operating system, great phone for selfie lovers and take pictures even in low light very well, full scree also provides much better view, light weight and fit in hands very well."
vivo v7,5,25-Jan-18,mobile is good and best signal receiving capacity( 2 times better than any other brands regarding signals).
vivo v7,4,05-Feb-18,"Vivo v7 , using this handSet from last 1 month , i bought it from offline store in 15 thousand . Phone is very well working . This is best phone under 15 thousand .
I don't know about gaming performance because am not a kid so never play games on mobile . Day to day uses are working butter smooth on this phone , great camera"
vivo v7,4,22-Dec-18,All are good
vivo v7,5,07-Dec-18,"Excellent product... Great camera output, battery life.. smooth multi tasking without any lags"
vivo v7,3,09-Sep-18,"By look it's okey, but according to the specifications it's price is little high in comparison of other mobile available, i realized this after purchasing this phon."
vivo v7,4,16-Jun-18,Expecting 64GB rom and above in this price
vivo v7,4,12-Aug-18,Handling this phone felt so smooth and looks are awesome
vivo v7,4,09-Oct-18,Good Mobile from vivo
vivo v7,4,27-Jun-18,Hanging problem and touch also work slowly…
