Attributes,TFIDF
earphones,9.220315455
ears,5.303304908
easy,5.303304908
economic,5.303304908
ego,5.303304908
emu,9.220315455
equal,5.303304908
estimate,5.303304908
everyone,5.303304908
everything,5.303304908
exact,5.303304908
excellent,31.95950599
exchange,9.220315455
expectation,3.917010547
expectations,12.61407786
expected,9.220315455
expecting,5.303304908
experience,21.0234631
expiring,5.303304908
fabulous,5.303304908
face,8.409385239
facing,5.303304908
fake,5.303304908
fall,5.303304908
fan,5.303304908
fast,3.917010547
fate,5.303304908
fault,8.409385239
faulty,5.303304908
feature,10.07218428
features,18.46933498
fell,5.303304908
felt,5.303304908
fill,4.610157727
find,5.303304908
fine,12.61407786
first,5.303304908
fit,4.610157727
fitted,5.303304908
flash,10.60660982
fool,13.83047318
friendly,9.220315455
friends,5.303304908
front,31.06080331
fulfill,5.303304908
full,7.834021094
fulled,5.303304908
g,0.368830975
gadget,5.303304908
gallery,5.303304908
games,5.303304908
gaming,5.303304908
gays,5.303304908
GB,23.50206328
get,12.89545347
gets,5.303304908
getting,5.303304908
giving,9.220315455
glad,5.303304908
go,7.536571105
gold,5.303304908
good,95.47740738
got,27.95472298
great,29.0147703
grip,5.303304908
gs,3.357394759
gudgeon,5.303304908
guys,9.220315455
had,5.303304908
Hamsun,9.220315455
handling,5.303304908
hands,4.204692619
handset,13.83047318
hang,3.357394759
hanging,9.220315455
hangs,5.303304908
happy,9.220315455
hard,5.303304908
has,7.992742735
head,8.409385239
hearing,5.303304908
heating,9.220315455
hf,4.610157727
hi,2.470091564
hie,10.60660982
high,8.409385239
Hoboken,5.303304908
holding,5.303304908
hon,0.825968094
honor,9.220315455
hospitality,5.303304908
i,4.092067876
icons,5.303304908
ii,5.303304908
image,14.77546798
images,9.220315455
improve,9.220315455
inbuilt,5.303304908
incorrect,5.303304908
installing,5.303304908
int,3.511545439
interest,5.303304908
interface,5.303304908
invest,9.220315455
is,3.279486524
issue,3.511545439
issues,18.46933498
item,5.303304908
jack,9.220315455
Jana,5.303304908
k,5.603142334
Karo,5.303304908
key,4.610157727
keypad,5.303304908
kid,5.303304908
killer,12.61407786
kind,9.220315455
know,5.303304908
KO,5.303304908
lacks,5.303304908
lagging,5.303304908
lags,9.220315455
last,4.204692619
lasting,5.303304908
lasts,5.303304908
latest,5.303304908
least,5.303304908
lenses,5.303304908
less,11.08160099
let,4.610157727
life,12.61407786
light,18.46933498
lightweight,5.303304908
liked,5.303304908
line,11.75103164
lite,5.303304908
little,5.303304908
lock,10.60660982
long,4.610157727
longer,5.303304908
look,6.00143963
looking,21.06927263
looks,9.220315455
lot,9.220315455
love,9.671590099
loved,15.66804219
lovers,5.303304908
low,12.42432132
lower,5.303304908
m,0.443492504
mad,4.204692619
made,9.220315455
main,5.303304908
Maj,5.303304908
make,14.77546798
making,13.83047318
management,5.303304908
managing,5.303304908
many,5.303304908
market,9.220315455
marvelous,5.303304908
mat,3.917010547
matter,5.303304908
max,4.610157727
maximum,5.303304908
mazing,3.917010547
MB,26.51652454
mega,5.303304908
mentioned,12.61407786
met,3.917010547
metal,5.303304908
mi,15.57152824
mid,5.303304908
Mildred,5.303304908
minimum,5.303304908
minute,5.303304908
missing,9.220315455
mobile,60.44844341
mode,9.220315455
money,38.9288206
month,12.42432132
months,21.06927263
moot,3.511545439
move,9.220315455
mp,17.7150133
much,16.11931683
multi,5.303304908
music,9.220315455
n,0.419109415
ND,13.83047318
need,4.610157727
network,12.61407786
new,5.303304908
nice,56.20910518
night,9.220315455
nothing,5.303304908
occurred,5.303304908
offer,4.610157727
offers,5.303304908
OK,18.46933498
oms,5.303304908
one,3.839194884
ones,3.000719815
operating,5.303304908
option,9.220315455
ordered,9.220315455
outdated,5.303304908
output,5.303304908
overall,4.204692619
packaging,5.303304908
padded,5.303304908
pap,7.023090878
paps,19.58505273
parameters,5.303304908
party,5.303304908
past,5.303304908
pay,5.303304908
payment,5.303304908
pentagram,5.303304908
people,12.61407786
perfect,12.61407786
perfection,5.303304908
performance,25.79090693
period,5.303304908
pf,5.303304908
phone,88.29159163
phones,21.74256232
photo,15.66804219
photos,5.303304908
pick,5.303304908
picture,25.79090693
pictures,9.220315455
pix,14.77546798
pixel,11.75103164
pixels,5.303304908
pixmap,5.303304908
pl,2.307572635
play,3.511545439
please,15.66804219
poi,4.610157727
point,5.303304908
poop,5.303304908
poor,23.50176331
portrait,5.303304908
position,5.303304908
power,4.610157727
powerful,5.303304908
premium,5.303304908
price,42.45958672
pricey,5.303304908
printmaker,5.303304908
problem,24.84864265
problems,9.220315455
processing,5.303304908
processor,15.66804219
produce,10.60660982
product,67.99005319
proof,5.303304908
provides,5.303304908
providing,5.303304908
purchase,30.00719815
purchased,9.220315455
purchasing,9.220315455
quality,57.51882382
r,1.203549375
raga,5.303304908
ram,13.83047318
range,26.85915807
rare,5.303304908
rd,2.818398258
read,5.303304908
realized,5.303304908
rear,15.66804219
reasonable,9.220315455
received,22.16320197
receiving,5.303304908
recent,5.303304908
recommend,5.303304908
recording,5.303304908
red,9.318240992
regarding,9.220315455
regret,4.610157727
regretting,5.303304908
regular,5.303304908
reliable,5.303304908
replaced,5.303304908
replacement,9.220315455
response,5.303304908
rest,4.610157727
rethink,5.303304908
return,11.75103164
returning,5.303304908
review,5.303304908
ROM,5.303304908
room,5.303304908
rs,2.470091564
rubbish,10.60660982
running,5.303304908
s,0.810930216
said,5.303304908
Samara,5.303304908
satisfied,25.79090693
say,9.220315455
scree,3.917010547
screen,12.61407786
SD,9.220315455
SE,5.303304908
searching,5.303304908
second,5.303304908
security,5.303304908
see,4.204692619
seen,9.220315455
selected,5.303304908
selfish,18.46933498
selling,5.303304908
service,26.85915807
set,3.917010547
settings,9.220315455
sew,5.303304908
shame,9.220315455
shops,5.303304908
show,4.204692619
showing,5.303304908
shown,5.303304908
side,5.303304908
signal,5.303304908
signals,5.303304908
silver,5.303304908
single,5.303304908
sit,8.409385239
size,35.25309492
sleek,5.303304908
slim,9.220315455
slow,7.834021094
slowpokes,5.303304908
smart,19.58505273
smooth,11.75103164
snapdragon,9.220315455
soc,5.303304908
software,12.61407786
sold,5.303304908
solution,5.303304908
sound,12.61407786
speakers,5.303304908
specifications,5.303304908
specified,5.303304908
specs,10.60660982
speed,9.220315455
spend,5.303304908
stars,5.303304908
started,9.220315455
storage,9.220315455
store,9.220315455
strategy,5.303304908
sturdy,5.303304908
sub,10.60660982
such,5.303304908
suggest,8.409385239
suggesting,5.303304908
super,24.84864265
superb,9.220315455
support,3.917010547
supporting,16.81877048
sure,5.303304908
swiping,5.303304908
symbol,5.303304908
system,9.220315455
TA,5.303304908
take,11.75103164
takes,5.303304908
talk,5.303304908
tasking,5.303304908
teal,5.303304908
tell,9.220315455
tension,5.303304908
th,1.519115274
thank,16.11931683
thanks,12.61407786
thing,4.204692619
things,5.303304908
think,8.409385239
thinking,9.220315455
third,5.303304908
time,25.79090693
timeliness,5.303304908
times,8.409385239
today,5.303304908
tomb,5.303304908
top,5.303304908
total,7.834021094
touch,12.61407786
tried,9.220315455
tube,5.303304908
type,5.303304908
u,0.491120553
unit,5.303304908
update,14.77546798
updated,9.220315455
uploaded,5.303304908
usage,5.303304908
use,11.62163854
used,15.66804219
useless,5.303304908
user,4.610157727
users,5.303304908
uses,5.303304908
using,21.06927263
v,9.085649029
value,12.61407786
version,9.220315455
VGA,5.303304908
video,7.834021094
videos,9.220315455
view,8.409385239
visible,5.303304908
vivo,16.67543267
voice,5.303304908
volume,5.303304908
Vonda,5.303304908
vouch,5.303304908
waist,5.303304908
waited,5.303304908
want,12.61407786
warranty,9.220315455
wastage,5.303304908
waste,21.06927263
watch,5.303304908
weight,17.55772719
went,5.303304908
whole,5.303304908
wise,5.303304908
work,3.000719815
working,30.21655283
worst,24.58081807
worth,27.95472298
x,1.902107526
zoom,12.61407786
zooming,5.303304908
